id,update_decision,new_reason_category,confidence,notes
paper-0593,keep,still_relevant_physical_asset_maintenance,high,Induction motor diagnostic denoising for fault monitoring
paper-0598,keep,still_relevant_physical_asset_maintenance,high,Submarine cable strain monitoring for operational reliability
paper-0602,keep,still_relevant_physical_asset_maintenance,high,Industrial batch process decision support includes maintenance planning
paper-0604,keep,still_relevant_physical_asset_maintenance,high,Ship hull damage monitoring for condition based maintenance
paper-0612,keep,still_relevant_physical_asset_maintenance,high,Vehicle HVAC field failures inform maintenance interventions
paper-0627,keep,still_relevant_physical_asset_maintenance,medium,Access control supports collaborative machinery predictive maintenance
paper-0631,keep,still_relevant_physical_asset_maintenance,high,Digital twin failure data generation for PHM models
paper-0632,keep,still_relevant_physical_asset_maintenance,high,Industrial machinery and engine failure and RUL prediction
paper-0634,newly_exclude,generic_structural_material,high,Pipeline material corrosion study lacks maintenance decision
paper-0638,keep,still_relevant_physical_asset_maintenance,high,Automotive manufacturing predictive maintenance implementation study
paper-0643,keep,still_relevant_physical_asset_maintenance,high,Composite joint fatigue RUL supports SHM
paper-0645,keep,still_relevant_physical_asset_maintenance,high,EV battery enclosure temperature prediction supports condition monitoring
paper-0649,keep,still_relevant_physical_asset_maintenance,high,Aerospace composite health indicators enable PHM maintenance
paper-0652,keep,still_relevant_physical_asset_maintenance,high,Optical network amplifier failure prediction for proactive maintenance
paper-0656,newly_exclude,generic_nonmaintenance,medium,Production state monitoring lacks maintenance focus
paper-0659,keep,still_relevant_physical_asset_maintenance,high,5G radio link failure prediction supports reliability
paper-0672,keep,still_relevant_physical_asset_maintenance,medium,Wind turbine bearing temperature virtual sensing
paper-0674,newly_exclude,generic_nonmaintenance,medium,Milling chatter detection targets process quality not maintenance
paper-0687,keep,still_relevant_physical_asset_maintenance,medium,Bridge point cloud registration supports condition monitoring
paper-0691,newly_exclude,heritage_culture_building,high,Architectural heritage conservation is excluded
paper-0692,keep,still_relevant_physical_asset_maintenance,high,Aeronautical structure health indicators for condition based maintenance
paper-0696,keep,still_relevant_physical_asset_maintenance,medium,Switchgear temperature reconstruction supports equipment condition monitoring
paper-0697,keep,still_relevant_physical_asset_maintenance,high,Nuclear protection component RUL for predictive maintenance
paper-0698,keep,still_relevant_physical_asset_maintenance,high,Building HVAC equipment predictive maintenance and diagnostics
paper-0713,keep,still_relevant_physical_asset_maintenance,high,Gearbox vibration fault detection for predictive maintenance
paper-0715,keep,still_relevant_physical_asset_maintenance,high,Working machine structure fault detection and diagnosis
paper-0737,keep,still_relevant_physical_asset_maintenance,medium,Printed crack sensors support structural condition monitoring
paper-0751,keep,still_relevant_physical_asset_maintenance,medium,Federated learning framework targets industrial predictive maintenance
paper-0753,keep,still_relevant_physical_asset_maintenance,medium,Gas turbine vibration prediction supports condition monitoring
paper-0762,newly_exclude,generic_nonmaintenance,medium,Injection molding process monitoring lacks asset maintenance focus
paper-0765,keep,still_relevant_physical_asset_maintenance,high,DC converter telemetry enables condition monitoring
paper-0786,keep,still_relevant_physical_asset_maintenance,high,Refrigeration subsystem fault and RUL management
paper-0788,keep,still_relevant_physical_asset_maintenance,medium,Energy harvesting powers motor predictive maintenance sensors
paper-0795,keep,still_relevant_physical_asset_maintenance,high,Turbofan engine failure prediction for predictive maintenance
paper-0800,keep,still_relevant_physical_asset_maintenance,high,Air handling unit predictive maintenance with FDD
paper-0803,newly_exclude,generic_nonmaintenance,medium,Thermocouple fabrication study lacks maintenance use case
paper-0816,keep,still_relevant_physical_asset_maintenance,high,Rail slab track debonding detection for monitoring
paper-0820,keep,still_relevant_physical_asset_maintenance,high,Freight train subsystem condition monitoring for maintenance
paper-0823,keep,still_relevant_physical_asset_maintenance,medium,Pneumatic seal degradation assessment supports diagnostics
paper-0824,keep,still_relevant_physical_asset_maintenance,high,Renewable asset fault prediction for predictive maintenance
paper-0833,newly_exclude,generic_structural_material,medium,Generic eddy current crack method lacks asset context
paper-0835,keep,still_relevant_physical_asset_maintenance,medium,Nuclear plant digital twin mentions predictive maintenance
paper-0841,keep,still_relevant_physical_asset_maintenance,high,Power electronics reliability RUL and condition monitoring roadmap
paper-0843,keep,still_relevant_physical_asset_maintenance,high,Wind turbine predictive maintenance framework
paper-0845,keep,still_relevant_physical_asset_maintenance,high,Rail grinding surface effects inform maintenance degradation
paper-0847,newly_exclude,heritage_culture_building,medium,Facility structural monitoring is building management
paper-0854,newly_exclude,generic_nonmaintenance,medium,SCADA simulation tool lacks implemented maintenance use case
paper-0863,keep,still_relevant_physical_asset_maintenance,high,Induction motor health monitoring for predictive maintenance
paper-0872,keep,still_relevant_physical_asset_maintenance,high,Railway ballast deterioration informs maintenance planning
paper-0891,keep,still_relevant_physical_asset_maintenance,high,Wind turbine gearbox fault detection with cost aware maintenance
paper-0892,keep,still_relevant_physical_asset_maintenance,medium,Engine deposits and wear analysis supports reliability
paper-0897,newly_exclude,generic_structural_material,high,Marine steel corrosion study lacks asset maintenance context
paper-0913,keep,still_relevant_physical_asset_maintenance,high,Transformer winding deformation informs CBM and fault prediction
paper-0915,keep,still_relevant_physical_asset_maintenance,high,Induction motor simultaneous fault diagnosis
paper-0916,newly_exclude,generic_nonmaintenance,medium,Wind power forecasting lacks asset health monitoring
paper-0918,keep,still_relevant_physical_asset_maintenance,high,Bogie frame fatigue crack RUL assessment
paper-0920,newly_exclude,generic_structural_material,high,Pressure vessel creep mechanics lacks maintenance decision
paper-0926,keep,still_relevant_physical_asset_maintenance,high,Slab track strain reconstruction supports lifecycle monitoring
paper-0929,keep,still_relevant_physical_asset_maintenance,high,Degrading equipment RUL prediction method
paper-0931,keep,still_relevant_physical_asset_maintenance,high,Industrial anomaly detection and failure prediction
paper-0934,keep,still_relevant_physical_asset_maintenance,high,Heavy industry gearbox diagnostic analytics for predictive maintenance
paper-0943,keep,still_relevant_physical_asset_maintenance,high,Power converter lifetime monitoring for reliability and reuse
paper-0947,keep,still_relevant_physical_asset_maintenance,high,Pavement distress prediction supports maintenance management
paper-0948,keep,still_relevant_physical_asset_maintenance,high,Water pipe failure prediction informs renewal policies
paper-0958,newly_exclude,generic_nonmaintenance,high,Abstract queueing maintenance policy lacks physical asset
paper-0967,keep,still_relevant_physical_asset_maintenance,high,Aerospace actuator health management and life extension
paper-0970,keep,still_relevant_physical_asset_maintenance,high,Space station fluid loop PHM and health monitoring
paper-0973,newly_exclude,generic_nonmaintenance,medium,Ship digital twin focuses fuel prediction not maintenance
paper-0976,keep,still_relevant_physical_asset_maintenance,high,Critical IT component predictive maintenance
paper-0981,keep,still_relevant_physical_asset_maintenance,high,Wind turbine prognostics under concept drift
paper-0993,keep,still_relevant_physical_asset_maintenance,medium,Experiment instrumentation monitoring for predictive maintenance
paper-0995,keep,still_relevant_physical_asset_maintenance,medium,Air conditioning compressor vibration virtual sensing for reliability
paper-1002,newly_exclude,generic_nonmaintenance,high,Manufacturing twin focuses supply disruption decisions
paper-1004,newly_exclude,generic_nonmaintenance,medium,Slag flow monitoring targets quality not maintenance
paper-1009,keep,still_relevant_physical_asset_maintenance,high,Electric drive degradation modeling and RUL prediction
paper-1011,keep,still_relevant_physical_asset_maintenance,high,Rail heaving defect prediction enables maintenance prioritization
paper-1014,keep,still_relevant_physical_asset_maintenance,high,Printer fleet predictive maintenance analytics
paper-1015,newly_exclude,generic_structural_material,high,Composite plate deformation twin lacks maintenance use case
paper-1050,keep,still_relevant_physical_asset_maintenance,medium,IIoT automation framework includes predictive maintenance workflows
paper-1057,newly_exclude,generic_nonmaintenance,medium,Wind turbine curve estimation lacks health maintenance focus
paper-1072,keep,still_relevant_physical_asset_maintenance,high,Tunnel ventilation system condition monitoring
paper-1074,keep,still_relevant_physical_asset_maintenance,medium,Voltage transformer insulation degradation and failure mechanism
paper-1077,keep,still_relevant_physical_asset_maintenance,high,Digital twin smart tunnel predictive maintenance system
paper-1094,keep,still_relevant_physical_asset_maintenance,high,Bearing anomaly detection for predictive maintenance
paper-1099,newly_exclude,heritage_culture_building,high,Historical building preventive management is heritage conservation
paper-1100,newly_exclude,generic_nonmaintenance,medium,Pipeline wax deposition study lacks maintenance decision
paper-1102,keep,still_relevant_physical_asset_maintenance,high,Elevator fault diagnosis for safety critical equipment
paper-1103,keep,still_relevant_physical_asset_maintenance,high,Transmission line discharge monitoring prevents tripping
paper-1109,keep,still_relevant_physical_asset_maintenance,high,Water service line failure prediction for asset management
paper-1119,newly_exclude,geotechnical_natural_hazard,high,Rock fracture precursor monitoring is geotechnical
paper-1120,keep,still_relevant_physical_asset_maintenance,high,Urban traffic infrastructure predictive maintenance and anomaly detection
paper-1133,keep,still_relevant_physical_asset_maintenance,high,Asphalt pavement deterioration prediction for predictive maintenance
paper-1135,newly_exclude,generic_structural_material,medium,Insulation nanocomposite aging classification lacks maintenance decision
paper-1143,keep,still_relevant_physical_asset_maintenance,medium,Generic PHM anomaly detection and degradation trend prediction
paper-1146,keep,still_relevant_physical_asset_maintenance,medium,Air conditioner performance monitoring supports diagnostics
paper-1148,keep,still_relevant_physical_asset_maintenance,medium,Industrial IoT predictive maintenance method
paper-1157,keep,still_relevant_physical_asset_maintenance,high,Railway 5G condition monitoring for communication reliability
paper-1162,keep,still_relevant_physical_asset_maintenance,high,Micro machining tool wear condition monitoring
paper-1167,newly_exclude,generic_nonmaintenance,high,Generic accelerated degradation model lacks asset use case
paper-1169,keep,still_relevant_physical_asset_maintenance,high,Hard disk drive failure prediction
paper-1171,keep,still_relevant_physical_asset_maintenance,high,Split air conditioner fault impact supports predictive maintenance
paper-1177,keep,still_relevant_physical_asset_maintenance,medium,Combine harvester V belt failure modeling
paper-1181,keep,still_relevant_physical_asset_maintenance,medium,Bridge concrete crack monitoring under fatigue corrosion
paper-1189,newly_exclude,generic_nonmaintenance,medium,Control data acquisition method lacks maintenance use case
paper-1195,keep,still_relevant_physical_asset_maintenance,medium,Industrial fryer state classification detects maintenance transitions
paper-1202,newly_exclude,generic_nonmaintenance,medium,Floating platform offset monitoring lacks maintenance decision
paper-1203,keep,still_relevant_physical_asset_maintenance,high,Industrial failure prediction for edge predictive maintenance
paper-1209,keep,still_relevant_physical_asset_maintenance,high,Rail pantograph contact force condition monitoring
paper-1213,keep,still_relevant_physical_asset_maintenance,high,Railway fastener tightness monitoring for maintenance
paper-1214,keep,still_relevant_physical_asset_maintenance,medium,Dredger cutter tooth wear modeling
paper-1218,keep,still_relevant_physical_asset_maintenance,medium,Circuit breaker repetitive fault degradation analysis
paper-1221,keep,still_relevant_physical_asset_maintenance,high,Hard disk failure prediction dataset
paper-1224,newly_exclude,generic_structural_material,medium,Printed electronics ink aging lacks asset maintenance use case
paper-1228,keep,still_relevant_physical_asset_maintenance,medium,IPMSM drive modeling supports condition monitoring
paper-1229,newly_exclude,generic_nonmaintenance,medium,Broad smart transport review not maintenance focused
paper-1234,keep,still_relevant_physical_asset_maintenance,high,Sewer network failure prediction for risk based maintenance
paper-1235,keep,still_relevant_physical_asset_maintenance,high,Analog gauge reading supports industrial predictive maintenance
paper-1239,keep,still_relevant_physical_asset_maintenance,high,Railway crack distance estimation for predictive maintenance
paper-1245,keep,still_relevant_physical_asset_maintenance,high,Wind turbine predictive maintenance optimization
paper-1246,keep,still_relevant_physical_asset_maintenance,medium,Aerospace FBG sensing supports structural health monitoring
