id,update_decision,new_reason_category,confidence,notes
paper-1858,keep,still_relevant_physical_asset_maintenance,high,Wind turbine bearing condition monitoring
paper-1866,newly_exclude,generic_structural_material,high,Oxide scale material failure without maintenance use
paper-1875,keep,still_relevant_physical_asset_maintenance,high,Wind generator short circuit fault identification
paper-1880,newly_exclude,generic_nonmaintenance,medium,Transformer voltage model lacks maintenance decision
paper-1882,newly_exclude,generic_structural_material,high,Insulation gas breakdown study lacks maintenance use
paper-1886,newly_exclude,generic_structural_material,medium,Lab bridge girder failure tests lack maintenance
paper-1889,keep,still_relevant_physical_asset_maintenance,medium,Structural stress monitoring supports maintenance
paper-1892,keep,still_relevant_physical_asset_maintenance,high,IoT device failure prediction for predictive maintenance
paper-1893,newly_exclude,generic_structural_material,medium,Cement material evaluation not asset maintenance
paper-1895,keep,still_relevant_physical_asset_maintenance,high,HVAC component RUL drives maintenance actions
paper-1897,keep,still_relevant_physical_asset_maintenance,medium,Battery cell thermal mechanical state monitoring
paper-1899,keep,still_relevant_physical_asset_maintenance,medium,Industrial maintenance maturity decision support
paper-1902,keep,still_relevant_physical_asset_maintenance,high,Generator fault diagnosis in wind systems
paper-1906,keep,still_relevant_physical_asset_maintenance,high,Wind gearbox load monitoring for reliability
paper-1907,keep,still_relevant_physical_asset_maintenance,high,Hydrogen pressure vessel damage monitoring
paper-1909,keep,still_relevant_physical_asset_maintenance,high,BESS SOH optimization extends lifetime
paper-1914,keep,still_relevant_physical_asset_maintenance,medium,Railway vehicle condition monitoring parameter estimation
paper-1918,keep,still_relevant_physical_asset_maintenance,medium,Vibration data compression for condition monitoring
paper-1922,keep,still_relevant_physical_asset_maintenance,high,Harmonic drive life degradation reliability tests
paper-1924,newly_exclude,generic_structural_material,high,Creep failure in model material only
paper-1925,keep,still_relevant_physical_asset_maintenance,high,Industrial milling machine predictive maintenance
paper-1926,keep,still_relevant_physical_asset_maintenance,high,Offshore wind turbine digital twin for CBM
paper-1928,keep,still_relevant_physical_asset_maintenance,high,Manufacturing machinery health predictive maintenance
paper-1932,newly_exclude,generic_structural_material,medium,Generic beam vibration method lacks maintenance asset
paper-1935,keep,still_relevant_physical_asset_maintenance,high,Solar tower plant condition monitoring
paper-1938,keep,still_relevant_physical_asset_maintenance,high,Diesel engine oil degradation prediction
paper-1942,keep,still_relevant_physical_asset_maintenance,high,Energy harvesting supports rotating component monitoring
paper-1945,keep,still_relevant_physical_asset_maintenance,medium,Turbine blade fatigue area detection
paper-1951,keep,still_relevant_physical_asset_maintenance,high,Spur gear failure trends for maintenance optimization
paper-1957,keep,still_relevant_physical_asset_maintenance,medium,IoT battery SOC supports RUL estimation
paper-1958,newly_exclude,generic_nonmaintenance,medium,Sensor data recovery not maintenance prediction
paper-1973,newly_exclude,generic_nonmaintenance,high,Generic IIoT twin modeling lacks maintenance task
paper-1977,newly_exclude,generic_structural_material,high,Coating material degradation without maintenance decision
paper-1980,keep,still_relevant_physical_asset_maintenance,medium,Degrading system monitoring and time to event prediction
paper-1982,keep,still_relevant_physical_asset_maintenance,high,Ship rope condition monitoring for preventive maintenance
paper-1983,keep,still_relevant_physical_asset_maintenance,high,Industrial distillation anomaly fault detection
paper-1985,keep,still_relevant_physical_asset_maintenance,medium,Accelerometer mounting for predictive maintenance measurements
paper-1986,keep,still_relevant_physical_asset_maintenance,high,Aircraft maintenance delay reduction framework
paper-1994,keep,still_relevant_physical_asset_maintenance,medium,Service exposed steam pipe condition assessment
paper-2002,keep,still_relevant_physical_asset_maintenance,medium,Smart water grid predicts maintenance needs
paper-2003,keep,still_relevant_physical_asset_maintenance,medium,Fuel cell condition estimation for monitoring
paper-2005,keep,still_relevant_physical_asset_maintenance,high,Federated predictive maintenance for manufacturing equipment
