id,update_decision,new_reason_category,confidence,notes
paper-3625,newly_exclude,heritage_culture_building,high,Construction failure monitoring lacks maintenance focus
paper-3627,newly_exclude,generic_nonmaintenance,medium,Studio workflow AI lacks clear equipment maintenance focus
paper-3631,keep,still_relevant_physical_asset_maintenance,high,Solar PV fault classification supports maintenance
paper-3654,keep,still_relevant_physical_asset_maintenance,high,Rotating machinery fault diagnosis
paper-3655,newly_exclude,generic_nonmaintenance,medium,Generic signal classification lacks asset use case
paper-3658,keep,still_relevant_physical_asset_maintenance,medium,Rail axle bearing thermal degradation analysis
paper-3665,keep,still_relevant_physical_asset_maintenance,high,Pavement digital twin enables proactive maintenance
paper-3671,keep,still_relevant_physical_asset_maintenance,high,Wheelchair part failures and servicing
paper-3675,keep,still_relevant_physical_asset_maintenance,high,Transmission line failure risk supports reliability
paper-3678,newly_exclude,heritage_culture_building,high,Heritage building conservation not equipment maintenance
paper-3686,keep,still_relevant_physical_asset_maintenance,medium,Truck drive mode classification supports diagnostics
paper-3687,keep,still_relevant_physical_asset_maintenance,high,Digital twin condition monitoring for motors and vessels
paper-3698,keep,still_relevant_physical_asset_maintenance,high,Vehicle emissions forecasting supports predictive maintenance
paper-3701,newly_exclude,generic_nonmaintenance,medium,Sensor placement method lacks specific asset case
paper-3702,keep,still_relevant_physical_asset_maintenance,high,Prognostics framework for complex assets
paper-3713,keep,still_relevant_physical_asset_maintenance,high,Motor fault classification for predictive maintenance
paper-3723,newly_exclude,generic_nonmaintenance,high,Voltage disturbance detection lacks maintenance focus
paper-3730,keep,still_relevant_physical_asset_maintenance,high,Bridge corrosion lifetime assessment includes maintenance
paper-3733,keep,still_relevant_physical_asset_maintenance,medium,Aircraft windshield reliability case supports risk assessment
paper-3735,keep,still_relevant_physical_asset_maintenance,high,Power transformer failure prediction
paper-3751,keep,still_relevant_physical_asset_maintenance,high,Bridge rehabilitation and maintenance planning
paper-3768,keep,still_relevant_physical_asset_maintenance,medium,Bicycle sensing supports pavement condition monitoring
paper-3774,newly_exclude,generic_structural_material,high,Generic structural sampling method lacks maintenance case
paper-3777,keep,still_relevant_physical_asset_maintenance,high,Road crack detection for condition monitoring
paper-3787,newly_exclude,generic_nonmaintenance,medium,Conceptual Industry 5.0 framework lacks asset case
paper-3798,newly_exclude,geotechnical_natural_hazard,high,Mine slope failure prediction
paper-3801,keep,still_relevant_physical_asset_maintenance,high,Hard drive sensor failure prediction
paper-3804,newly_exclude,geotechnical_natural_hazard,high,Tunnel construction rock deformation prediction
paper-3805,keep,still_relevant_physical_asset_maintenance,high,Roller bearing defect propagation condition monitoring
paper-3811,keep,still_relevant_physical_asset_maintenance,high,Bearing incipient fault diagnosis
paper-3813,keep,still_relevant_physical_asset_maintenance,high,Induction motor parameters support predictive maintenance
paper-3815,keep,still_relevant_physical_asset_maintenance,medium,Battery degradation informs storage asset planning
paper-3817,newly_exclude,generic_nonmaintenance,medium,Railway environmental risk framework lacks asset maintenance
paper-3830,keep,still_relevant_physical_asset_maintenance,high,HVAC filtration sensors support predictive maintenance
paper-3833,keep,still_relevant_physical_asset_maintenance,high,Transformer arcing fault condition monitoring
paper-3834,keep,still_relevant_physical_asset_maintenance,high,Building electrical equipment fault diagnosis
paper-3836,keep,still_relevant_physical_asset_maintenance,high,Boiler tube corrosion monitoring for maintenance
paper-3840,keep,still_relevant_physical_asset_maintenance,high,Industrial actuator fault diagnosis guides maintenance
paper-3842,keep,still_relevant_physical_asset_maintenance,medium,Bridge cable vibration condition monitoring
paper-3843,keep,still_relevant_physical_asset_maintenance,high,HDD reliability failure prediction
paper-3848,keep,still_relevant_physical_asset_maintenance,high,Generator demagnetisation fault diagnosis
paper-3851,keep,still_relevant_physical_asset_maintenance,high,UPS maintenance data failure prediction
paper-3852,keep,still_relevant_physical_asset_maintenance,high,Drilling tool condition monitoring
paper-3853,keep,still_relevant_physical_asset_maintenance,high,Urban drainage digital twin supports maintenance
paper-3858,keep,still_relevant_physical_asset_maintenance,high,Pavement maintenance optimization asset management
paper-3860,keep,still_relevant_physical_asset_maintenance,medium,Tyre defect inspection supports replacement decisions
paper-3865,keep,still_relevant_physical_asset_maintenance,high,PMSM parameter estimation supports condition monitoring
paper-3875,keep,still_relevant_physical_asset_maintenance,high,EV battery health monitoring and safety
paper-3895,newly_exclude,generic_nonmaintenance,medium,Generic AI benchmark on machine failure data
paper-3903,keep,still_relevant_physical_asset_maintenance,high,Fuel cell stack RUL and lifetime management
paper-3919,keep,still_relevant_physical_asset_maintenance,high,Microfluidic device lifetime prediction
paper-3922,keep,still_relevant_physical_asset_maintenance,high,Smart bearing health monitoring
paper-3937,keep,still_relevant_physical_asset_maintenance,medium,Bearing defect vibration response supports diagnosis
paper-3939,newly_exclude,generic_structural_material,medium,Lab-scale tower deflection lacks maintenance decision
paper-3952,keep,still_relevant_physical_asset_maintenance,high,Solar system predictive maintenance
paper-3953,keep,still_relevant_physical_asset_maintenance,high,Communication equipment fault and degradation prediction
paper-3954,keep,still_relevant_physical_asset_maintenance,high,UAV railway inspection and fault detection
