id,update_decision,new_reason_category,confidence,notes
paper-3007,newly_exclude,heritage_culture_building,high,Generic facility management not equipment maintenance
paper-3012,keep,still_relevant_physical_asset_maintenance,high,Manufacturing PdM failure prediction with MTBF metrics
paper-3017,keep,still_relevant_physical_asset_maintenance,high,Rolling bearing defect diagnosis condition monitoring
paper-3019,newly_exclude,generic_nonmaintenance,high,Statistical anomaly method lacks asset use case
paper-3026,keep,still_relevant_physical_asset_maintenance,high,Industrial machinery predictive maintenance study
paper-3028,keep,still_relevant_physical_asset_maintenance,medium,Bushing dynamics supports predictive maintenance tools
paper-3030,keep,still_relevant_physical_asset_maintenance,medium,Motor aging parameters estimated under operation
paper-3031,keep,still_relevant_physical_asset_maintenance,high,Transformer insulation health and RUL assessment
paper-3045,keep,still_relevant_physical_asset_maintenance,medium,Rail squeal condition monitoring context
paper-3049,keep,still_relevant_physical_asset_maintenance,high,Gear tooth damage condition monitoring
paper-3053,keep,still_relevant_physical_asset_maintenance,high,Desalination plant inspection predictive maintenance
paper-3063,newly_exclude,generic_nonmaintenance,medium,Energy harvesting for sensors not asset maintenance
paper-3066,keep,still_relevant_physical_asset_maintenance,high,ESP pump failure prediction for operations
paper-3080,newly_exclude,generic_nonmaintenance,medium,Welding process monitoring not equipment maintenance
paper-3082,newly_exclude,generic_nonmaintenance,high,Synthetic RUL method lacks asset use case
paper-3086,keep,still_relevant_physical_asset_maintenance,high,Pipeline corrosion RUL and integrity management
paper-3106,keep,still_relevant_physical_asset_maintenance,high,Charging station equipment fault prediction
paper-3108,keep,still_relevant_physical_asset_maintenance,medium,PMSM parameter estimation for condition monitoring
paper-3123,keep,still_relevant_physical_asset_maintenance,high,Railroad inspection and predictive maintenance framework
paper-3124,keep,still_relevant_physical_asset_maintenance,medium,SHM active learning for inspection decisions
paper-3126,keep,still_relevant_physical_asset_maintenance,high,Transformer partial discharge condition monitoring
paper-3127,keep,still_relevant_physical_asset_maintenance,high,I&C equipment reliability maintenance monitoring
paper-3139,newly_exclude,heritage_culture_building,high,Heritage preservation not technical equipment maintenance
paper-3144,keep,still_relevant_physical_asset_maintenance,high,Peristaltic pump aging detection for tube replacement
paper-3145,keep,still_relevant_physical_asset_maintenance,high,High-impact recorder fault prediction
paper-3161,newly_exclude,generic_structural_material,high,Composite material creep test lacks asset maintenance
paper-3165,keep,still_relevant_physical_asset_maintenance,high,Aircraft engine MRO predictive maintenance
paper-3169,keep,still_relevant_physical_asset_maintenance,medium,Railway track load condition monitoring
paper-3188,keep,still_relevant_physical_asset_maintenance,high,Automotive belt lifetime and preventive maintenance
paper-3189,keep,still_relevant_physical_asset_maintenance,medium,Industrial equipment monitoring and maintenance program
paper-3194,keep,still_relevant_physical_asset_maintenance,high,Wind turbine blade failure condition monitoring
paper-3197,keep,still_relevant_physical_asset_maintenance,high,Urban infrastructure equipment failure early warning
paper-3199,newly_exclude,geotechnical_natural_hazard,high,Rainfall slope failure geotechnical hazard
paper-3205,keep,still_relevant_physical_asset_maintenance,high,Bridge scour digital twin predictive maintenance
paper-3215,keep,still_relevant_physical_asset_maintenance,medium,NAS method trained on predictive maintenance datasets
paper-3219,keep,still_relevant_physical_asset_maintenance,high,Linear guideway load monitoring for PdM
paper-3220,keep,still_relevant_physical_asset_maintenance,high,AGV RUL estimation over IIoT networks
paper-3222,keep,still_relevant_physical_asset_maintenance,medium,Oil well casing failure risk supports prevention
paper-3226,newly_exclude,generic_structural_material,high,Fracture mechanics method no maintenance use case
paper-3228,newly_exclude,generic_nonmaintenance,high,Generic reliability distribution no asset use case
paper-3233,keep,still_relevant_physical_asset_maintenance,medium,CNC chip detection prevents tool and equipment faults
paper-3237,newly_exclude,generic_nonmaintenance,medium,Mining IIoT platform lacks specific maintenance asset
paper-3247,keep,still_relevant_physical_asset_maintenance,high,Mechanical device real-time failure prediction
paper-3250,newly_exclude,generic_nonmaintenance,high,AI control overview lacks asset maintenance use case
paper-3252,newly_exclude,generic_nonmaintenance,high,Battery regrouping for second life not maintenance
paper-3257,keep,still_relevant_physical_asset_maintenance,high,Aerospace composite PHM health indicator
paper-3263,keep,still_relevant_physical_asset_maintenance,high,Transport induction motor diagnostics for predictive maintenance
paper-3264,keep,still_relevant_physical_asset_maintenance,high,Pump motor shielding sleeve fault diagnosis
paper-3266,keep,still_relevant_physical_asset_maintenance,high,Smart manufacturing PdM with scheduling decisions
paper-3295,keep,still_relevant_physical_asset_maintenance,high,Power transformer fault detection for predictive maintenance
paper-3300,keep,still_relevant_physical_asset_maintenance,high,Aerospace furnace PHM maintenance monitoring
paper-3302,keep,still_relevant_physical_asset_maintenance,medium,Dynamic system fault diagnosis with control case
paper-3308,newly_exclude,generic_structural_material,high,Composite failure mechanics without maintenance decision
paper-3310,keep,still_relevant_physical_asset_maintenance,high,Composite structure PHM and RUL prognostics
paper-3319,keep,still_relevant_physical_asset_maintenance,medium,EV battery aging and SOH modeling
paper-3322,keep,still_relevant_physical_asset_maintenance,high,Machine failure risk prediction for PdM
paper-3325,newly_exclude,generic_nonmaintenance,high,Generic RUL diffusion model lacks asset case
paper-3327,keep,still_relevant_physical_asset_maintenance,medium,Condition monitoring decision framework for maintenance
paper-3331,keep,still_relevant_physical_asset_maintenance,high,Compressor failure prediction predictive maintenance
paper-3334,keep,still_relevant_physical_asset_maintenance,high,Rolling bearing severity and RUL estimation
paper-3335,keep,still_relevant_physical_asset_maintenance,high,Industrial machinery digital twin failure prediction
paper-3343,keep,still_relevant_physical_asset_maintenance,high,Lifting dam gate failure monitoring
paper-3349,keep,still_relevant_physical_asset_maintenance,high,Composite SHM damage detection for critical assets
paper-3357,keep,still_relevant_physical_asset_maintenance,high,Bearing RUL prediction methodology
paper-3361,keep,still_relevant_physical_asset_maintenance,medium,Fault diagnosis and RUL prognosis method
paper-3363,keep,still_relevant_physical_asset_maintenance,high,Machine equipment Weibull failure prediction
paper-3367,newly_exclude,generic_nonmaintenance,high,Generic stochastic RUL model lacks asset case
paper-3370,newly_exclude,generic_nonmaintenance,high,WSN QoS prediction not physical asset maintenance
paper-3375,newly_exclude,geotechnical_natural_hazard,high,Mine ground support geotechnical monitoring
paper-3377,newly_exclude,generic_nonmaintenance,high,Generic degradation model lacks asset case
paper-3379,keep,still_relevant_physical_asset_maintenance,high,Power management system failure prediction hardware
paper-3385,keep,still_relevant_physical_asset_maintenance,high,ROADM optical hardware failure prediction
paper-3391,newly_exclude,generic_structural_material,medium,PCB reliability testing lacks maintenance decision
paper-3399,keep,still_relevant_physical_asset_maintenance,medium,Industrial compressor condition data prediction
paper-3402,keep,still_relevant_physical_asset_maintenance,high,Offshore wind gearbox pump RUL prognostics
paper-3403,keep,still_relevant_physical_asset_maintenance,medium,Helicopter vibration prediction supports maintenance
paper-3407,keep,still_relevant_physical_asset_maintenance,medium,IoT device anomaly detection for predictive maintenance
paper-3410,keep,still_relevant_physical_asset_maintenance,high,Building HVAC and lighting fault detection
paper-3411,newly_exclude,generic_nonmaintenance,medium,Circuit board segmentation for quality assurance
paper-3416,keep,still_relevant_physical_asset_maintenance,medium,PV plant environmental condition monitoring
paper-3418,keep,still_relevant_physical_asset_maintenance,high,Transformer winding fault diagnosis
paper-3421,newly_exclude,generic_nonmaintenance,medium,PHM dataset tool lacks asset use case
paper-3426,keep,still_relevant_physical_asset_maintenance,high,Mechanical engine RUL fault detection
paper-3427,keep,still_relevant_physical_asset_maintenance,medium,Vehicle condition monitoring for fleet management
paper-3429,keep,still_relevant_physical_asset_maintenance,medium,Energy harvester supports grid condition sensors
paper-3436,keep,still_relevant_physical_asset_maintenance,high,Rotary excavator failure analysis and service life
paper-3440,newly_exclude,generic_nonmaintenance,medium,Generic VAE method lacks asset maintenance case
paper-3443,keep,still_relevant_physical_asset_maintenance,high,Lithium-ion battery EOL and RUL prediction
paper-3447,keep,still_relevant_physical_asset_maintenance,medium,Wind turbine gearbox strain monitoring for reliability
paper-3454,newly_exclude,generic_nonmaintenance,high,Generic RUL transfer model lacks asset case
paper-3463,keep,still_relevant_physical_asset_maintenance,high,Aeroengine rotor unbalance diagnosis
paper-3470,keep,still_relevant_physical_asset_maintenance,medium,Vehicle predictive maintenance legal framework
paper-3471,keep,still_relevant_physical_asset_maintenance,medium,Cement pole NDT safety assessment
paper-3475,keep,still_relevant_physical_asset_maintenance,high,Pump cavitation health monitoring and RUL
paper-3485,keep,still_relevant_physical_asset_maintenance,medium,Radar displacement sensing for condition monitoring
paper-3487,newly_exclude,generic_nonmaintenance,high,Generic time series reduction lacks asset use case
paper-3498,keep,still_relevant_physical_asset_maintenance,high,Industrial robot predictive maintenance framework
paper-3512,keep,still_relevant_physical_asset_maintenance,medium,Wind turbine blade defect vibration analysis
paper-3517,keep,still_relevant_physical_asset_maintenance,medium,Smart grid component failure prediction
paper-3518,keep,still_relevant_physical_asset_maintenance,high,Station power supply failure prediction
paper-3532,newly_exclude,generic_nonmaintenance,medium,Supply chain IoT study not equipment maintenance
paper-3538,newly_exclude,generic_nonmaintenance,medium,Manufacturing quality twin not asset maintenance
paper-3541,keep,still_relevant_physical_asset_maintenance,medium,Transmission grid parameter monitoring for maintenance
paper-3546,keep,still_relevant_physical_asset_maintenance,medium,Power equipment condition monitoring network scheduling
paper-3554,keep,still_relevant_physical_asset_maintenance,high,Maintenance modeling with sequential inspections
paper-3556,keep,still_relevant_physical_asset_maintenance,high,Chip degradation monitoring and reliability prediction
paper-3560,newly_exclude,generic_nonmaintenance,medium,Product design sensors lack maintenance application
paper-3565,keep,still_relevant_physical_asset_maintenance,high,Railway track buckling predictive maintenance
paper-3570,keep,still_relevant_physical_asset_maintenance,high,Rail damage management and grinding maintenance
paper-3572,keep,still_relevant_physical_asset_maintenance,medium,Aged insulator degradation assessment
paper-3585,newly_exclude,generic_nonmaintenance,medium,Sensor calibration method not maintenance decision
paper-3589,newly_exclude,generic_nonmaintenance,high,Broad IoT review lacks asset maintenance focus
paper-3593,keep,still_relevant_physical_asset_maintenance,medium,CNC machine positioning error diagnosis
paper-3599,newly_exclude,generic_nonmaintenance,medium,Demand forecasting not asset condition maintenance
paper-3601,keep,still_relevant_physical_asset_maintenance,high,Rail roughness informs predictive maintenance planning
paper-3613,keep,still_relevant_physical_asset_maintenance,high,Bearing failure preventive monitoring
paper-3615,keep,still_relevant_physical_asset_maintenance,medium,Robotic arm digital twin for lifecycle maintenance
paper-3618,keep,still_relevant_physical_asset_maintenance,medium,Testing apparatus digital twin for maintenance
paper-3620,newly_exclude,generic_nonmaintenance,high,Rule mining review lacks asset maintenance case
paper-3622,keep,still_relevant_physical_asset_maintenance,high,SiC power module integrated condition monitoring
