id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-3503,medium,generic_digital_twin_control,review_keep,"Neural simulator supports control/condition-monitoring development, but no direct fault/degradation or maintenance decision is evaluated.",Neural Network Simulator of Gas Turbine Engines for Prototyping and Debugging of Control Systems on Unsteady Modes; [Нейросетевой имитатор газотурбинных двигателей для прототипирования и отладки систем управления неустановившимися режимами]
paper-3517,medium,cyber_physical_security_not_maintenance,review_keep,Predicts cascading smart-grid component failures from cyber/initial-failure scenarios; maintenance purpose is indirect.,An Early Stage Failure Prediction Mechanism in Smart Grid Networks
paper-3518,medium,operations_continuity_not_maintenance,review_keep,Predicts seismic-station power-supply failures for operational continuity rather than a clear maintenance/asset-health workflow.,IoT-based Intelligent Power Supply Management Using Ensemble Learning for Seismic Observation Stations
paper-3541,medium,parameter_estimation_only,review_keep,Transmission-grid parameter estimation is linked to predictive maintenance only as one downstream use; no direct fault or degradation model.,Efficient Parameter Estimation of Power Transmission Grids Using a Metaheuristic Optimization Approach
paper-3546,high,support_network_only,review_exclude,"Focus is wireless-sensor-network scheduling/QoS for data transport, not asset condition diagnosis or maintenance decisions.",Scheduling Algorithm for Power Wireless Sensor Networks Considering Service Priority and Delay Constraints
paper-3578,medium,generic_process_monitoring,review_exclude,Fault classification is for abstract industrial processes/datasets with no clear physical equipment or maintenance action.,Improved Machine Learning for Multiclass Fault Classification in Industrial Processes
paper-3586,medium,mission_management_not_maintenance,review_keep,"UAS subsystem faults are predicted for mission reconfiguration and wireless-service continuity, not maintenance planning.",Intelligent Health and Mission Management for UAS-Assisted Wireless Networks
paper-3596,medium,generic_digital_twin_proof_of_concept,review_keep,LEGO/Raspberry Pi digital-twin demonstrator mentions predictive maintenance but remains a generic process-simulation example.,A Proof-of-Concept Digital Twin for Real-Time Simulation: Leveraging a Model-Based Systems Engineering Approach
paper-3598,medium,non_equipment_asset_inspection,review_keep,Shipping-container damage detection supports inspection/logistics; relevance to strict equipment predictive maintenance is indirect.,Automating container damage detection with the YOLO-NAS deep learning model
paper-3615,high,generic_digital_twin_only,review_exclude,Compares Unity and Gazebo for a robotic-arm digital twin; predictive maintenance appears mainly as background motivation.,Comparative Study of Digital Twin Developed in Unity and Gazebo
