id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-1014,low,nonindustrial_office_equipment,review_keep,"Enterprise print-fleet analytics is explicit PdM, but the office/print-management setting is peripheral to strict engineered-asset PdM.",SMART PRINT MANAGEMENT USING PREDICTIVE ANALYTICS
paper-1021,medium,unclear_asset_material_shm,review_keep,Crack detection is tested on polymeric specimens; the maintainable asset/use case is generic rather than a specific equipment asset.,An Intelligent Signal Classification Framework for Crack Detection in Polymeric Materials Using Ensemble Learning
paper-1022,medium,civil_utility_infrastructure,review_exclude,"Predicts failures in a heat-supply network, a civil/utility pipe-network target rather than electromechanical equipment.",Development of a machine learning-based framework for predicting failures in heat supply networks
paper-1043,low,generic_guidance,review_keep,Trustworthy-AI guidance for condition monitoring; maintenance context is explicit but no concrete asset/data case is screened.,Building Trustworthy AI Systems for Condition Monitoring
paper-1079,medium,agriculture_iot_data_quality,review_keep,Focus is imputation under sensor failures in smart irrigation; the pump-failure/PdM link is indirect.,Evaluating the Data Imputation Impact on Gradient Boosting Model Predictive Performance in Sensor Failure Recovery for Smart Irrigation Systems
paper-1109,high,civil_utility_infrastructure,review_exclude,Clean-water service lines are water-distribution infrastructure; strict criteria exclude non-equipment civil infrastructure.,Predictive Rehabilitation of Clean Water Customer Connections Leveraging Machine Learning Algorithms and Failure Time Series Data
paper-1120,medium,urban_transport_infrastructure,review_exclude,"Targets traffic signals, cameras, sensors and congestion anomalies; broader smart-city infrastructure rather than strict equipment PdM.",AIP-Urban: Edge-Enabled Deep Learning Framework for Predictive Maintenance and Anomaly Detection in Urban Traffic Infrastructure
paper-1143,medium,unclear_asset_generic_method,review_keep,Generic anomaly/trend framework for system health management; the asset target is unspecified.,Adaptive Dynamic Thresholds for Unsupervised Joint Anomaly Detection and Trend Prediction
paper-1146,low,performance_monitoring_not_fault,review_keep,"Air-conditioner COP/performance monitoring is useful, but fault/degradation or maintenance decision support is not explicit.",Non-intrusive performance monitoring method for air conditioners
paper-1157,high,it_telecom_network,review_exclude,"Condition monitoring of a 5G railway communication network; target is telecom service reliability, not physical-asset maintenance.",Condition Monitoring Technology and Its Testing for 5G-Enabled High-Speed Railway Wireless Communication Networks: Guaranteeing the Reliability of Train–Ground Communication
paper-1166,medium,structural_health_unclear_asset,review_keep,"Fastener-preload SHM spans rail, aerospace and civil structures; the specific maintainable asset scope is unclear.",Voiceprint analysis for non-destructive monitoring of fastener preload variations in complex structural components
paper-1193,low,nontraditional_asset,review_keep,"Explicit PdM for interactive art hardware, but the domain is peripheral and nonindustrial.",PREDICTIVE MAINTENANCE FOR INTERACTIVE ART INSTALLATIONS
