id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-1515,medium,system_resilience_not_asset_pdm,review_keep,Fault propagation and recovery in interconnected energy networks; resilience focus rather than maintenance of a specific asset.,Hybrid learning-based fault prediction and cascading failure mitigation in multi-network energy systems
paper-1521,medium,environmental_iot_device_risk,review_keep,Climate risk/adaptation study for IoT devices; device failure probabilities are relevant but maintenance role is indirect.,Climate Risks to IoT Devices in Kazakhstan: Projections and Adaptation Strategies
paper-1544,medium,disaster_restoration_planning,review_keep,Hurricane line-failure prediction supports service restoration and resilience more than routine predictive maintenance.,Resilience Oriented Distribution System Service Restoration Considering Overhead Power Lines Affected by Hurricanes
paper-1549,high,software_api_enabling_only,review_exclude,Primary contribution is REST API performance/security for a vehicle monitoring system; PdM is framed as a future use.,Performance analysis of REST API in a real-time IoT-based vehicle monitoring system
paper-1580,low,energy_management_not_maintenance,review_keep,"BESS degradation and RUL are modeled, but the main objective is economic power dispatch rather than maintenance decisions.",Economic optimal power management of second-life battery energy storage systems
paper-1620,high,generic_robotics_digital_twin,review_exclude,Robotics digital-twin framework optimizes navigation/collaboration; predictive maintenance is only a generic claimed capability.,Advancing Robotic Systems with Distributed Multi-Agent Digital Twins: A Scalable and Adaptive Framework
paper-1637,medium,it_network_self_healing,review_keep,Power communication self-healing/fault recovery may concern network operations rather than physical asset maintenance.,Realization and research of self-healing technology of power communication equipment based on power safety and controllability
paper-1704,medium,generic_xai_mixed_domain,review_keep,"Explainability method spans bearing, transformer, and diabetes datasets; not primarily an equipment PdM study.",Interpretable Diagnostics with SHAP-Rule: Fuzzy Linguistic Explanations from SHAP Values
paper-1761,medium,operational_safety_not_degradation,review_keep,"Wheel-rail force estimation supports safety monitoring, but no clear degradation, fault prognosis, or maintenance policy is modeled.",A Novel Measurement-Based Computational Method for Real-Time Distribution of Lateral Wheel–Rail Contact Forces
paper-1771,medium,process_quality_not_asset_pdm,review_exclude,"Chatter detection predicts chatter marks/process instability, closer to product quality control than asset maintenance.",Chatter Detection and Identification Based on Mode Decompositions
paper-1778,medium,operational_load_monitoring,review_keep,Detects imbalanced freight loads for safety/track-wear mitigation; maintenance relevance is indirect.,Unsupervised machine learning methodologies for identification of transversal imbalanced loads in freight railway vehicles
paper-1783,medium,operational_load_classification,review_exclude,"Ball-mill load state classification targets production optimization and operating conditions, not asset degradation or maintenance.",Ball Mill Load Classification Method Based on Multi-Scale Feature Collaborative Perception
paper-1784,low,generic_pdm_framework_unclear_asset,review_keep,Generic hybrid PdM framework with broad domains and no specific maintained asset or dataset clearly established.,A Hybrid SVM-Bayesian-Fuzzy Logic Framework for Predictive Maintenance
paper-1785,low,enabling_simulation_method,review_keep,Contribution is virtual image reproduction for testing a cultivator tine monitoring system; maintenance target is secondary.,A methodology for image reproduction in virtual environments applied to an agricultural assistance function
paper-1813,medium,operational_instability_not_maintenance,review_keep,Francis turbine pressure-pulsation study defines operating regions; condition-monitoring link exists but maintenance decision is implicit.,Symmetry Breaking Mechanisms and Pressure Pulsation Characteristics in a Large-Scale Francis Turbine Under Variable Head Operation
paper-1826,medium,sensor_power_enabling_only,review_keep,"Energy-harvesting metamaterial powers wireless condition sensors; it is enabling instrumentation, not asset diagnosis.",Multi-Band Enhanced Energy Harvesting from Dual Sources Using a Symmetrical Gradient Metamaterial Beam
paper-1842,medium,data_platform_enabling_only,review_keep,Wind-equipment LIMS/data-management platform supports fault research but is mainly software/data infrastructure.,Design and Implementation of a Misalignment Experimental Data Management Platform for Wind Power Equipment
paper-1846,low,energy_harvesting_operational_monitoring,review_keep,"Train suspension work focuses on energy harvesting and operational-condition classification, not degradation or maintenance scheduling.",Self-powered and self-sensing intelligent suspension for application in heavy-haul trains
paper-1849,high,future_pdm_only,review_exclude,Acoustic fingerprint/database paper presents failure prediction and predictive service as future applications rather than demonstrated PdM.,Acoustic fingerprint in vehicle manufacturing as a basis for future applications
paper-1889,medium,generic_shm_unclear_asset,review_keep,Residual-stress monitoring is validated on steel specimens with only potential SHM/PdM applications; target asset is unclear.,Long-Term Residual Stress Monitoring via Surface Acoustic Waves Using Piezoelectric Patch Transducers
paper-1892,medium,iot_application_reliability,review_keep,"Green-IoT failure prediction concerns IoT application/device reliability across sectors, with ambiguous physical-asset maintenance scope.",Unveiling critical features for failure prediction in green internet of things applications
paper-1899,high,organizational_maintenance_maturity,review_exclude,"Maintenance maturity and organizational continuity model lacks asset condition monitoring, diagnosis, or prognostics.",Multidimensional Maintenance Maturity Modeling: Fuzzy Predictive Model and Case Study on Ensuring Operational Continuity Under Uncertainty
paper-1900,medium,sensor_reliability_not_asset_pdm,review_keep,"Accelerated lifetime study targets the humidity sensor element used for monitoring, not the maintained rail asset itself.",Accelerated lifetime estimation and failure analysis of micromachined humidity sensors under high temperature and high humidity conditions
paper-1909,low,energy_management_asset_health,review_keep,"Energy-management controller improves BESS SOH/RUL, but core problem is dispatch/blackout management rather than maintenance.",Development of an Intelligent Energy Management System to Improve BESS State of Health
paper-1914,medium,generic_parameter_estimation,review_keep,"Railway parameter-estimation method is labeled condition monitoring but lacks explicit fault, degradation, or maintenance decision.",Novel swarm intelligence-based multiple models approaches for parameter estimation: Application to a railway vehicle system with traction
