id,controversy_level,reason_category,recommended_action,brief_reason,title
"paper-0516","medium","unclear_asset_maintenance","review_exclude","Railway scheduling under traffic uncertainty; asset-condition prediction/maintenance target is unclear.","Optimizing of Railway Maintenance Activities Using Fuzzy Logic: An Intelligent Approach for Improved Reliability"
"paper-0549","low","indirect_maintenance_purpose","review_keep","Uses RUL to learn robot tool-use policies, but optimizes operation rather than inspection/repair/replacement.","Prolonging Tool Life: Learning Skillful Use of General-Purpose Tools Through Lifespan-Guided Reinforcement Learning"
"paper-0551","medium","generic_ai_control","review_exclude","Adaptive manufacturing planning focuses on OEE, energy, carbon and waste; predictive maintenance is not a clear core contribution.","A Digital-Twin-Enabled AI-Driven Adaptive Planning Platform for Sustainable and Reliable Manufacturing"
"paper-0568","low","sensor_platform_only","review_keep","Ultrasonic edge/telemetry acquisition framework; fault/anomaly detection is described as future work.","High Frequency Ultrasonic Condition Monitoring Framework Based on Edge-Computing and Telemetry Stack Approach"
"paper-0572","medium","generic_digital_twin_control","review_exclude","Lab-scale hydrogen microgrid digital twin is mainly monitoring/control proof-of-concept; PdM is only a stated future benefit.","Lab-scale green hydrogen and fuel cell microgrid digital twin"
"paper-0588","low","preliminary_modeling","review_keep","Preliminary DC motor thermal linearity study for possible condition monitoring; no fault/degradation decision model.","Linearity analysis of a brushed DC machine thermal system in response to speed input using transfer function"
"paper-0593","low","preprocessing_only","review_keep","Motor current denoising method supports diagnostics but does not itself detect faults or drive maintenance decisions.","Clarke-Domain Dyadic Wavelet Denoising for Three-Phase Induction Motor Current Signals"
"paper-0602","medium","process_supervision","review_keep","AI/LLM architecture is mainly batch-process/CIP supervision; equipment health and preventive maintenance are secondary.","Hybrid AI and LLM-Enabled Agent-Based Real-Time Decision Support Architecture for Industrial Batch Processes: A Clean-in-Place Case Study"
"paper-0627","low","security_access_control","review_keep","Blockchain access-control mechanism for PdM data sharing, not an asset health prediction or maintenance method itself.","An attribute-driven access control framework based on smart contracts for secure collaborative predictive maintenance"
"paper-0638","medium","business_management","review_exclude","Analyzes firm financial/performance effects of digitalized PdM adoption; no specific physical asset condition or maintenance model.","Digitalization-Based Predictive Maintenance Systems, Internet of Things Sensor Networks, and Machine Intelligence Algorithms for Industry 4.0/5.0 Manufacturing Processes †"
"paper-0651","low","expert_risk_prioritization","review_keep","Food-processing equipment failures are prioritized by expert/FMECA-style risk model rather than predictive condition monitoring.","RISK-BASED PERFORMANCE OPTIMIZATION OF MOZZARELLA CHEESE PROCESSING USING EXPERT JUDGEMENT – PREFERENCE SELECTION INDEX (PSI) MODEL"
"paper-0652","medium","software_it_network","review_keep","Predicts optical-network amplifier failures; boundary between physical telecom equipment PdM and IT/network service reliability is ambiguous.","Failure Prediction in Optical Transport Networks Through the Integration of Digital Twins and Deep Learning"
"paper-0659","high","software_it_network","review_exclude","Targets 5G radio link failures and QoS alerts rather than maintenance of a clearly defined physical asset.","Predictive Maintenance and Reliability in Intelligent 5G Networks Based on Graph Neural Networks"
"paper-0737","low","generic_structural_health_monitoring","review_keep","Generic printed crack sensor for SHM; target asset and maintenance decision context are not specific.","Printed Crack Detection Sensors for SHM Based on Direct Ink Write Additive Manufacturing"
"paper-0738","medium","broad_review_infrastructure","review_keep","Broad Drone-of-Things/AI overview for power sector; predictive maintenance is one application among many, not a focused PdM study.","AI APPLICATIONS FOR DRONE OF THINGS IN THE POWER SECTOR"
"paper-0753","low","operational_modeling","review_keep","Gas-turbine vibration response model may support CBM, but no explicit fault diagnosis, degradation tracking or maintenance policy.","Mathematical Model to Predict Vibration Behavior of LM6000 Gas Turbines at Musayyib Thermal Power Plant Under Variable Operating Conditions"
"paper-0765","low","condition_monitoring_weak","review_keep","Converter telemetry classifies load/system states; maintenance action or degradation/fault prognosis is not explicit.","Resource-Efficient Telemetry-Based Condition Monitoring with Digitally Configurable DC/DC Converters and Embedded AI"
"paper-0767","high","civil_construction_safety","review_exclude","Scaffolding construction safety inspection/PHM is a temporary civil structure context rather than engineered-equipment PdM.","Artificial intelligence-driven safety assessment of scaffolding using LiDAR sensing"
"paper-0788","medium","sensor_power_enablement","review_exclude","Energy harvesting powers wireless sensors for possible PdM; no asset-condition prediction, diagnosis or maintenance optimization.","Batteryless IoT Sensing Using Thermoelectric Energy Harvesting from Industrial Motor Waste Heat"
"paper-0805","low","retrospective_failure_analysis","review_keep","Bus engine fire case study recommends CBM but is mostly retrospective accident/root-cause analysis, not predictive maintenance.","Fires in Urban Passenger Transport Vehicles Engine—Case Study"
"paper-0835","high","generic_digital_twin_control","review_exclude","NPP digital twin is primarily for robot behavior simulation and plant performance; PdM is incidental with no degradation model.","iFANnpp: Nuclear power plant digital twin for robots and autonomous intelligence"
"paper-0871","low","reliability_redesign","review_keep","Validates direct-drive retrofit and reliability/economic benefits; PdM appears mainly as an enabled future capability.","Eliminating open gears in spiral classifiers: Five-year validation of reliability and economic benefits"
"paper-0874","low","generic_method_no_asset","review_keep","Generic FEM virtual-sensor workflow with benchmark/CPU examples; asset maintenance decision is indirect.","Virtual Sensors Based on Finite Element Method: Balancing Accuracy, Runtime and Offline Effort"
"paper-0910","low","quality_troubleshooting","review_keep","Roll defect identification is driven by product thickness variation and troubleshooting; maintenance/PdM link is indirect.","Roll contribution estimation from thickness variation"
"paper-0913","low","simulation_basis_only","review_keep","Transformer winding force/deformation simulation provides theoretical basis for CBM/fault prediction but lacks monitoring or decision method.","Study on Cumulative Effects of Mechanical Forces and Deformation in Power Transformer Windings"
"paper-0921","medium","fleet_business_operations","review_keep","Fleet framework links driver behavior to service frequency and repair costs; asset health prediction is weak/indirect.","Data-Driven Fleet Optimization Using ML Algorithms and a Decision-Making Grid Framework"
"paper-0927","low","mixed_quality_condition_monitoring","review_keep","XAI framework mixes casting/surface quality inspection with one machine-condition acoustic anomaly use case.","Explainable AI-Driven Quality and Condition Monitoring in Smart Manufacturing"
"paper-0928","medium","privacy_blockchain_framework","review_exclude","Federated-learning/blockchain PdM framework for unmanned logistics has unclear maintained asset and appears simulation/platform focused.","Privacy-preserving predictive maintenance method for cross-border unmanned logistics system integrating federated learning and blockchain"
"paper-0945","low","data_standard_only","review_keep","PHM metadata standard/tooling supports datasets but is not an asset-specific predictive maintenance study.","ISA-PHM – a Standardized Format for Storing and Utilizing Meta-data of Diagnostic and Prognostic Tests"
"paper-0957","low","generic_structural_health_monitoring","review_keep","Bolt looseness detection is generic SHM across structures; specific in-scope asset and maintenance workflow are unclear.","A New Portable Smart Percussion System Embedded on Raspberry Pi for Bolt Looseness Detection"
"paper-0964","medium","operational_forecasting","review_exclude","Wind-turbine SCADA model predicts active/reactive power; condition monitoring/maintenance planning is asserted but no fault or degradation target.","Multi-Channel SCADA-Based Image-Driven Power Prediction for Wind Turbines Using Optimized LeNet-5-LSTM Hybrid Neural Architecture"
