id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-2039,low,data_toolchain_weak_pdm,review_keep,Cloud data-science/digital-twin toolchain; fuel-cell degradation/PdM is a proof-of-concept rather than the core diagnostic study.,Development of a cloud-based toolchain for data science in fuel cell vehicles
paper-2051,medium,training_visualization_not_core_pdm,review_keep,"VR/digital-twin platform emphasizes remote monitoring, visualization, and training; concrete asset-health prediction is limited.",Virtual Reality and Digital Twins for Catastrophic Failure Prevention in Industry 4.0
paper-2066,medium,enabling_sensor_power_system,review_exclude,"Self-powered wireless temperature sensor for vehicle monitoring; no fault, degradation, prognosis, or maintenance decision model is demonstrated.",A self-powered wireless temperature sensing system using flexible thermoelectric generators under simulated thermal condition
paper-2067,medium,control_framework_weak_pdm,review_exclude,AI-integrated PLC work is mainly intelligent motion control; predictive maintenance is a claimed capability rather than the central asset-health task.,A Computational Intelligence Framework for Industry 4.0-based Intelligent Motion Control using AI-Integrated PLCs
paper-2072,low,broad_infrastructure_monitoring,review_keep,Remote marine-infrastructure architecture covers subsea pipelines/offshore platforms; maintenance scheduling is mentioned but the treatment is broad.,Implementing Ubiquitous Computing for Remote Monitoring of Marine Infrastructure in Harsh Environments
paper-2074,high,generic_industry5_data_transformation,review_exclude,"Holistic Industry 5.0 data/interface article; predictive maintenance is asserted without a concrete asset fault, degradation, or maintenance case.",Harnessing Machine Learning for Data Transformation in Industry 5.0 Production Lines
paper-2098,medium,conceptual_space_manufacturing,review_exclude,"Lunar DT/XR/XD conceptual framework treats predictive maintenance as one broad capability among many, with no specific PdM model.","LUNAR-XDT: An integrated framework for sustainable lunar manufacturing using digital twin (DT), extended reality (XR), and extreme design (XD) principles"
paper-2112,low,design_reliability_not_maintenance,review_keep,"Solder-joint accelerated-life reliability modeling concerns a physical component, but maintenance decision support is indirect.",A Machine Learning Framework with Shapley’s Additive Explanations to Assess Solder Joint Reliability for Electronic Packaging
paper-2142,low,design_safety_factor_surrogate,review_keep,Gear safety-factor surrogate for digital twins is closer to design/simulation support than operational diagnostics or RUL prediction.,Neural Network-Based Estimation of Gear Safety Factors from ISO-Based Simulations
paper-2152,medium,enabling_energy_harvester,review_keep,Piezoelectric energy-harvester study enables sensor nodes for gearbox monitoring but does not itself diagnose or predict asset condition.,Analysis of piezoelectric harvester with multi-array configuration for ultra-low power sensor nodes
paper-2176,medium,process_soft_sensor,review_keep,"FCC decant-oil soft sensor supports coking-risk management, but the contribution is mainly process monitoring rather than equipment PdM.",Hybrid deep learning framework with spatiotemporal pattern extraction for decant oil solid content soft sensor development in fluid catalytic cracking units
paper-2197,medium,generic_edge_ml_enabling,review_exclude,Generic hardware implementation for sensor-data ML; predictive maintenance is only a motivating application and no asset case is shown.,Efficient hardware implementation of interpretable machine learning based on deep neural network representations for sensor data processing
paper-2210,medium,human_behavior_policy,review_keep,Behavioral nudging study addresses compliance with CBM guidelines; relevant to maintenance policy but not an equipment diagnostic/prognostic study.,Nudging Tactics for Enhanced Compliance With Condition-Based Maintenance Guidelines
paper-2229,high,civil_water_infrastructure,review_exclude,Buried municipal water-supply pipe failure-pressure/material-response study; strict scope treats this as civil infrastructure rather than equipment PdM.,Mechanical response and failure pressure prediction of cracked PVC-UH buried thin-walled pipes
paper-2231,high,civil_water_infrastructure,review_exclude,"Water distribution leak/burst detection targets utility infrastructure and conservation, not electromechanical equipment maintenance.",Early Leak and Burst Detection in Water Pipeline Networks Using Machine Learning Approaches
paper-2232,low,generic_digital_twin_rom,review_keep,Reduced-order-model workflow for digital twins; motor prognosis is illustrative while the primary contribution is computational workflow tooling.,Parallel reduced-order modeling for digital twins using high-performance computing workflows
