id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-0002,high,generic_process_quality_control,review_exclude,Focuses on manufacturing quality-control ensemble fusion; asset degradation or maintenance decision is only a keyword-level linkage.,ExpLusion: Explanation-driven Late Fusion for enhanced production process monitoring
paper-0013,medium,generic_process_monitoring,review_exclude,Manufacturing anomaly/root-cause analysis targets process deviations and optimization; the physical asset health target is unclear.,Multi-objective optimization-based sequential clustering and classification approach for anomaly detection and root cause analysis in the multi-stage manufacturing process
paper-0019,medium,generic_ai_unclear_maintenance,review_keep,"Consumer-electronics maintenance is mentioned, but the abstract blends personalization and biometric security with no concrete asset fault or degradation case.",AI driven system for enhancing consumer electronics through maintenance personalization and security
paper-0022,high,food_process_monitoring,review_exclude,"Micro-brewery sensor architecture emphasizes brewing sustainability, quality forecasting, and fermentation/process control; equipment maintenance is only a possible use case.",A design concept for data-driven brewing: sensor-based system architecture and ML applications for sustainability in micro-breweries
paper-0042,low,weak_maintenance_purpose,review_keep,Analyzes generator operating parameters and capacitor degradation for design/reliability; explicit PdM decision support is indirect.,Analysis of the external network parameters influence on the operating characteristics of self-excited induction generators
paper-0055,medium,process_quality_control,review_exclude,Slip prediction in roll-to-roll web processing mainly prevents tension/product-quality problems rather than equipment degradation or maintenance.,Data-Driven Slip Prediction in Web Processing Machines Using Virtual Sensors and Ensemble Machine Learning
paper-0058,medium,data_quality_support_not_asset_fault,review_keep,"Detects and imputes anomalous/missing vessel data for digital-twin development, not actual marine-engine faults or maintenance needs.",Localized anomaly detection and recovery of marine engine data to support digital twin development in shipping
paper-0089,medium,operational_performance_monitoring,review_keep,Renewable-energy production-imbalance detection is framed around performance/security; asset failure prevention is asserted but maintenance linkage is weak.,Adaptive Thresholding for Production Imbalance Detection in Renewable Energy Systems Using Statistical and Machine Learning Models
paper-0098,high,civil_infrastructure_track,review_exclude,"Targets railway track defects/anomaly detection, a civil/rail infrastructure condition-monitoring case excluded under the strict criteria.",Online Track Anomaly Detection: Comparison of Different Machine Learning Techniques Through Injection of Synthetic Defects on Experimental Datasets
paper-0107,low,calibration_operational_monitoring,review_keep,"Heliostat orientation estimation supports calibration and low-maintenance operation, but does not model faults, degradation, or maintenance decisions.",Airborne real-time solar concentrator orientation estimation for heliostat coarse calibration
