id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-3028,low,weak_maintenance_link,review_keep,Bushing dynamics identification only mentions PdM as a possible downstream digital-tool use; no actual fault/degradation or maintenance decision.,A fast Time-domain identification of bushing dynamics
paper-3030,medium,weak_maintenance_link,review_exclude,Induction-motor parameter/loss estimation is mainly for control/performance; condition monitoring and fault classification are described as future modifications.,Estimation of induction motor equivalent circuit parameters and losses from transient measurement
paper-3045,medium,civil_infrastructure_scope,review_exclude,Rail curve-squeal/noise and rail-grinding case study; maintenance target is track/rail acoustics rather than clear vehicle/equipment PdM.,A case study of railway curve squeal radiated from both the outer and inner wheel
paper-3083,low,operations_optimization,review_keep,"Vibration-aware robot path planning reduces wear/rough-terrain exposure, but it is operational control rather than a maintenance prediction or scheduling study.",RL-Based Vibration-Aware Path Planning for Mobile Robots’ Health and Safety
paper-3108,medium,weak_maintenance_link,review_exclude,"PMSM inductance estimation supports control and may aid condition monitoring, but no fault/degradation diagnosis or maintenance use is demonstrated.",Speed Harmonic based Saturation Free Inductance Modeling and Estimation of Interior PMSM Using Measurements Under One Load Condition
paper-3189,medium,generic_ai_control,review_exclude,Automated industrial-equipment system focuses on energy consumption/control and standby savings; predictive-maintenance link is secondary and vague.,Design of an Automated System for the Benefit of Energy Consumption and Control of Industrial Equipment with Artificial Intelligence
paper-3210,high,process_quality_monitoring,review_exclude,"Adaptive machining process monitoring is framed around quality/control limits, not equipment health, degradation, repair, or maintenance decisions.",An Adaptive Process Monitoring Method Based on an Improved ADALINE Neural Network
paper-3215,low,generic_ai_method,review_keep,Neural-architecture-search efficiency method trained on PdM datasets; asset and maintenance context are indirect rather than paper-specific.,A Model for Learning-Curve Estimation in Efficient Neural Architecture Search and Its Application in Predictive Health Maintenance
paper-3233,low,process_quality_monitoring,review_keep,"CNC chip-residue object detection prevents tool damage, but target is debris/chip management rather than direct equipment condition or RUL.",Synthetic-data-driven You-Only-Look-Once–Based Detection of Computer Numerical Control Machining Chips: Comparative Analysis of Omniverse Generated and Manually Annotated Images
paper-3234,low,process_monitoring_ambiguous_asset,review_keep,"Drift detection for heterogeneous production processes is tied to PdM, but the monitored drift may be process-state rather than asset degradation.",Data-driven drift detection and diagnosis framework for predictive maintenance of heterogeneous production processes: Application to a multiple tapping process
paper-3279,medium,business_management,review_exclude,"Maintenance innovation/competitive-advantage guide is largely organizational and strategic, with no concrete predictive asset-health model.",Innovation management strategies for industrial machinery maintenance: Enhancing competitive advantage
paper-3305,low,enabling_measurement_method,review_keep,Framework evaluates measurement-system precision for condition monitoring; useful support topic but not an asset fault/RUL study itself.,Evaluating Measurement System Capability in Condition Monitoring: Framework and Illustration Using Gage Repeatability and Reproducibility
paper-3327,low,generic_framework_unclear_asset,review_keep,"Biomimicry decision framework for condition monitoring is conceptual and asset-agnostic, with only generic vibration-data validation.",Biomimicry as a decision-making methodology in condition monitoring
paper-3407,high,consumer_iot_security,review_exclude,"Focus is consumer IoT anomaly/security detection, including wearables/health data and unauthorized access, not physical-asset maintenance.",Safeguarding IoT consumer devices: Deep learning with TinyML driven real-time anomaly detection for predictive maintenance
paper-3409,high,metadata_mismatch,review_exclude,"Title is about hydride hydrogen supply for combustion engines while abstract/keywords describe gearbox PdM, suggesting a mismatched or unreliable record.",APPLICATION OF HYDRIDE SYSTEMS FOR SUPPLYING INTERNAL COMBUSTION ENGINES WITH HYDROGEN
paper-3416,low,environmental_monitoring_only,review_keep,PV-plant IoT system monitors temperature and humidity and only indirectly supports preventive/corrective maintenance; no fault prediction model.,Design and Implementation of a Sustainable IoT Embedded System for Monitoring Temperature and Humidity in Photovoltaic Power Plants in the Amazon
paper-3427,medium,software_it_boundary,review_keep,"Blockchain public-transport management paper includes vehicle condition/malfunction prediction, but focus is data governance and fleet management.",Decentralized Public Transport Management System Based on Blockchain Technology †
paper-3429,medium,enabling_sensor_power_only,review_exclude,"Energy harvester powers transmission-line sensors; it does not perform condition assessment, fault prediction, or maintenance decision support.",Hybrid Triboelectric-Electromagnetic-Electric Field Energy Harvester for Simultaneous Wind and Electric Field Energy Capture in High-Voltage Transmission System
paper-3447,low,weak_maintenance_link,review_keep,Wind-turbine gearbox deflection/torque estimation is relevant to future RUL assessment but does not itself estimate degradation or maintenance timing.,Identification of operational deflection shapes of a wind turbine gearbox using fiber-optic strain sensors on a serial production end-of-line test bench
paper-3470,medium,legal_policy_context,review_exclude,Legal/data-storage framework for automotive PdM implementation; outside strict technical predictive-maintenance or asset-health modeling scope.,Legal Framework and Data Storage Background of Online Collected Data for Predictive Maintenance and Repair Purposes in the Automotive Sector in the European Union
paper-3485,medium,enabling_sensor_only,review_exclude,Millimeter-wave radar displacement-sensor precision study has only generic condition-monitoring applications and no specific asset maintenance target.,Experimental Analysis of Accuracy and Precision in Displacement Measurement Using Millimeter-Wave FMCW Radar
