id,decision,reason_category,confidence,notes
paper-3105,excluded,civil_geotechnical_infrastructure,high,railway track defects and RUL
paper-3115,excluded,civil_geotechnical_infrastructure,medium,port infrastructure asset management
paper-3123,excluded,civil_geotechnical_infrastructure,high,railroad infrastructure inspection
paper-3124,excluded,civil_geotechnical_infrastructure,medium,generic SHM regression not equipment
paper-3127,included,physical_asset_maintenance,high,electronic I&C equipment reliability
paper-3131,excluded,civil_geotechnical_infrastructure,medium,building maintenance data not equipment specific
paper-3139,excluded,civil_geotechnical_infrastructure,high,heritage building preservation
paper-3167,included,physical_asset_maintenance,high,IIoT industrial PdM framework
paper-3169,excluded,civil_geotechnical_infrastructure,high,railway track load monitoring
paper-3174,included,physical_asset_maintenance,high,production equipment monitoring
paper-3185,excluded,civil_geotechnical_infrastructure,high,stormwater pipe network condition
paper-3194,included,physical_asset_maintenance,high,wind turbine blade failure
paper-3197,included,physical_asset_maintenance,medium,urban equipment failure warning
paper-3199,excluded,civil_geotechnical_infrastructure,high,railway slope geotechnical failure
paper-3205,excluded,civil_geotechnical_infrastructure,high,bridge scour and foundation
paper-3234,included,physical_asset_maintenance,high,manufacturing process PdM
paper-3281,excluded,civil_geotechnical_infrastructure,high,concrete crane beam cracking
paper-3285,included,physical_asset_maintenance,high,turbofan engine RUL
paper-3288,excluded,civil_geotechnical_infrastructure,high,railway track failures
paper-3299,included,physical_asset_maintenance,high,rotating machine rotor faults
paper-3310,included,physical_asset_maintenance,medium,composite structure PHM
paper-3315,excluded,civil_geotechnical_infrastructure,high,bridge and civil asset framework
paper-3321,included,physical_asset_maintenance,high,rolling bearing RUL
paper-3324,included,physical_asset_maintenance,high,turbomachinery blade monitoring
paper-3334,included,physical_asset_maintenance,high,rolling bearing RUL
paper-3342,excluded,civil_geotechnical_infrastructure,high,pavement management
paper-3343,excluded,civil_geotechnical_infrastructure,high,lifting dam gate infrastructure
paper-3348,excluded,civil_geotechnical_infrastructure,high,railway track maintenance strategy
paper-3349,included,physical_asset_maintenance,medium,FRP composites for aerospace and wind
paper-3354,included,physical_asset_maintenance,high,railway vehicle wheel damage
paper-3357,included,physical_asset_maintenance,high,bearing RUL prediction
paper-3375,excluded,civil_geotechnical_infrastructure,high,mining ground support rockbolts
paper-3388,included,physical_asset_maintenance,high,metalworking predictive maintenance
paper-3393,included,physical_asset_maintenance,high,bearing temperature forecasting
paper-3400,excluded,civil_geotechnical_infrastructure,high,rail pads and track infrastructure
paper-3410,included,physical_asset_maintenance,high,HVAC and building system faults
paper-3427,included,physical_asset_maintenance,medium,public transport vehicle condition
paper-3438,excluded,civil_geotechnical_infrastructure,high,road surface damage
paper-3439,excluded,civil_geotechnical_infrastructure,high,bridge condition monitoring
paper-3471,excluded,civil_geotechnical_infrastructure,high,cement pole rebar assessment
paper-3482,included,physical_asset_maintenance,medium,metallic part microcrack NDT
paper-3494,included,physical_asset_maintenance,high,ball bearing RUL
paper-3499,included,physical_asset_maintenance,high,industrial IoT equipment PdM
paper-3516,included,physical_asset_maintenance,high,power equipment anomaly detection
paper-3527,excluded,civil_geotechnical_infrastructure,high,pavement condition assessment
paper-3541,included,physical_asset_maintenance,medium,power transmission grid assets
