id,decision,reason_category,confidence,notes
paper-0948,excluded,civil_geotechnical_infrastructure,medium,Water pipe network renewal is civil utility infrastructure
paper-0957,included,physical_asset_maintenance,medium,Bolt looseness detection for engineered joints
paper-0968,included,physical_asset_maintenance,high,High voltage insulator fault prediction
paper-0970,included,physical_asset_maintenance,high,Space station fluid loop health monitoring
paper-0978,included,physical_asset_maintenance,high,Pump as turbine cavitation diagnosis
paper-0981,included,physical_asset_maintenance,high,Wind turbine prognostics
paper-1005,excluded,civil_geotechnical_infrastructure,high,Self healing concrete asphalt and civil infrastructure durability
paper-1010,included,physical_asset_maintenance,high,Manufacturing machine condition monitoring architecture
paper-1011,excluded,civil_geotechnical_infrastructure,high,Railway track heaving and vertical displacement defects
paper-1014,included,physical_asset_maintenance,high,Enterprise printer fleet predictive maintenance
paper-1016,included,physical_asset_maintenance,high,Gas pipeline anomaly diagnostics
paper-1021,included,physical_asset_maintenance,medium,Crack detection for engineered polymer components
paper-1034,included,physical_asset_maintenance,high,Transformer short circuit failure prediction
paper-1035,included,physical_asset_maintenance,high,Power plant equipment condition forecasting
paper-1043,included,physical_asset_maintenance,high,Industrial machine condition monitoring process
paper-1046,included,physical_asset_maintenance,high,Drilling equipment condition monitoring and tool wear
paper-1050,included,physical_asset_maintenance,high,IIoT industrial automation predictive maintenance
paper-1051,excluded,civil_geotechnical_infrastructure,high,Railway track quality index prediction
paper-1054,excluded,civil_geotechnical_infrastructure,high,Bridge condition assessment
paper-1058,included,physical_asset_maintenance,high,Aerospace coaxial cable connector fault monitoring
paper-1072,included,physical_asset_maintenance,high,Tunnel ventilation equipment condition monitoring
paper-1077,excluded,civil_geotechnical_infrastructure,high,Tunnel infrastructure facility maintenance system
paper-1096,included,physical_asset_maintenance,high,Machinery diagnosis and RUL pipeline
paper-1099,excluded,civil_geotechnical_infrastructure,high,Historical building conservation management
paper-1101,included,physical_asset_maintenance,high,Wind turbine maintenance decision support
paper-1102,included,physical_asset_maintenance,high,Elevator fault diagnosis
paper-1107,included,physical_asset_maintenance,high,Engine remaining useful life prediction
paper-1119,excluded,civil_geotechnical_infrastructure,high,Anchored rock fracture precursor monitoring
paper-1120,included,physical_asset_maintenance,medium,Traffic signal camera and sensor equipment maintenance
paper-1133,excluded,civil_geotechnical_infrastructure,high,Asphalt pavement deterioration prediction
paper-1138,excluded,civil_geotechnical_infrastructure,high,Switch rail and turnout wear prediction
paper-1142,included,physical_asset_maintenance,high,Wind turbine blade deterioration assessment
paper-1146,included,physical_asset_maintenance,high,Air conditioner performance monitoring
paper-1152,excluded,civil_geotechnical_infrastructure,high,Asphalt road degradation monitoring
paper-1153,included,physical_asset_maintenance,high,Wind turbine blade fatigue diagnosis
paper-1159,excluded,civil_geotechnical_infrastructure,high,Railway track condition monitoring
paper-1163,included,physical_asset_maintenance,high,Power system asset management and predictive maintenance
paper-1166,included,physical_asset_maintenance,medium,Fastener preload monitoring for structural components
paper-1168,excluded,civil_geotechnical_infrastructure,high,Railway insulated rail joint track monitoring
paper-1181,excluded,civil_geotechnical_infrastructure,high,Reinforced concrete bridge specimen damage
paper-1191,included,physical_asset_maintenance,high,Rock milling machine cutter wear diagnosis
paper-1199,excluded,civil_geotechnical_infrastructure,high,Road condition and pothole detection
paper-1200,excluded,civil_geotechnical_infrastructure,high,Highway embankment subgrade condition monitoring
paper-1204,included,physical_asset_maintenance,high,Distribution grid prescriptive maintenance
paper-1213,excluded,civil_geotechnical_infrastructure,high,Railway track fastener tightness evaluation
paper-1214,included,physical_asset_maintenance,high,Dredger cutter tooth wear analysis
paper-1218,included,physical_asset_maintenance,high,Circuit breaker fault performance degradation
paper-1221,included,physical_asset_maintenance,high,Hard disk failure prediction dataset
paper-1225,included,physical_asset_maintenance,high,Fertilizer plant maintenance crew and asset reliability
paper-1239,excluded,civil_geotechnical_infrastructure,high,Railway rail crack distance estimation
paper-1246,included,physical_asset_maintenance,medium,Aerospace motor support torque monitoring
paper-1251,excluded,civil_geotechnical_infrastructure,high,Asphalt pavement polished surface monitoring
paper-1263,included,physical_asset_maintenance,high,Wind turbine blade fault detection
paper-1265,included,physical_asset_maintenance,high,Electric vehicle drive condition monitoring
paper-1277,included,physical_asset_maintenance,high,Digital twins for complex engineering equipment
paper-1294,excluded,civil_geotechnical_infrastructure,high,Quay wall geotechnical life cycle modeling
paper-1298,excluded,civil_geotechnical_infrastructure,high,Railway track longitudinal level estimation
paper-1300,excluded,civil_geotechnical_infrastructure,high,Concrete anchorage fatigue warning
paper-1311,included,physical_asset_maintenance,high,Converter transformer condition evaluation
paper-1314,excluded,civil_geotechnical_infrastructure,high,Road roughness and pavement maintenance
paper-1315,excluded,civil_geotechnical_infrastructure,high,Concrete crack segmentation
paper-1327,included,physical_asset_maintenance,high,High voltage cable insulation assessment
paper-1340,included,physical_asset_maintenance,high,EV charging system anomaly detection
paper-1345,excluded,civil_geotechnical_infrastructure,high,Railway track RUL and TQI modeling
paper-1353,excluded,civil_geotechnical_infrastructure,high,Road and pavement damage detection
paper-1360,included,physical_asset_maintenance,high,Gas turbine plant failure prediction
paper-1364,excluded,civil_geotechnical_infrastructure,medium,Generic infrastructure digital twin operations
paper-1370,included,physical_asset_maintenance,high,Oil well production asset predictive maintenance
paper-1372,included,physical_asset_maintenance,medium,Generic intelligent fault diagnosis for assets
paper-1379,included,physical_asset_maintenance,medium,Data driven maintenance planning for systems
paper-1388,included,physical_asset_maintenance,high,Manufacturing self diagnosis and tool monitoring
paper-1396,included,physical_asset_maintenance,medium,Renewable energy system monitoring and maintenance
paper-1397,excluded,civil_geotechnical_infrastructure,high,Reinforced concrete beam damage evaluation
paper-1408,included,physical_asset_maintenance,high,Power semiconductor condition monitoring
paper-1420,excluded,civil_geotechnical_infrastructure,high,Concrete nuclear containment seismic fragility
paper-1441,included,physical_asset_maintenance,high,Turbo generator shaft earthing fault diagnosis
paper-1442,excluded,civil_geotechnical_infrastructure,high,Highway bridge risk indicator
paper-1450,included,physical_asset_maintenance,high,Oil refinery compressor maintenance strategy
paper-1462,excluded,civil_geotechnical_infrastructure,high,Bridge inspection report extraction
paper-1484,included,physical_asset_maintenance,high,Highway tunnel fan motor condition monitoring
paper-1494,included,physical_asset_maintenance,high,Power line monitoring sensor energy harvesting
paper-1506,excluded,civil_geotechnical_infrastructure,high,Bridge infrastructure demolition asset management
paper-1516,excluded,civil_geotechnical_infrastructure,high,Railway infrastructure stiffness monitoring
paper-1521,included,physical_asset_maintenance,medium,IoT device climate failure risk assessment
paper-1529,included,physical_asset_maintenance,high,Manufacturing tool condition monitoring
paper-1540,included,physical_asset_maintenance,medium,Power grid condition monitoring sensor placement
paper-1548,included,physical_asset_maintenance,high,Railway axle crack monitoring
paper-1550,included,physical_asset_maintenance,high,Industrial pipeline blockage detection
paper-1557,excluded,civil_geotechnical_infrastructure,high,Reinforced concrete slab shear prediction
paper-1560,excluded,civil_geotechnical_infrastructure,high,Cold region pavement elevation monitoring
paper-1563,excluded,civil_geotechnical_infrastructure,high,Railway turnout frog condition monitoring
paper-1564,excluded,civil_geotechnical_infrastructure,high,Pavement condition assessment
paper-1570,excluded,civil_geotechnical_infrastructure,high,Railway track maintenance from imagery
paper-1571,excluded,civil_geotechnical_infrastructure,medium,Water pipeline defect assessment for urban infrastructure
paper-1573,included,physical_asset_maintenance,medium,Smart building equipment anomaly detection
paper-1574,included,physical_asset_maintenance,high,Solar panel predictive maintenance
paper-1579,included,physical_asset_maintenance,medium,AI for renewable energy system maintenance
paper-1585,excluded,civil_geotechnical_infrastructure,high,Cementitious concrete ASR durability monitoring
paper-1587,included,physical_asset_maintenance,high,Biomedical equipment predictive maintenance
paper-1588,excluded,civil_geotechnical_infrastructure,high,Rail track life prediction
paper-1592,included,physical_asset_maintenance,high,EV battery management and health monitoring
paper-1595,included,physical_asset_maintenance,high,Twisted string actuator lifespan prediction
paper-1596,excluded,civil_geotechnical_infrastructure,high,Cultural heritage building conservation
paper-1603,excluded,civil_geotechnical_infrastructure,high,Ballastless track slab interlayer mechanics
paper-1604,included,physical_asset_maintenance,high,Lithium ion battery SOH and RUL estimation
paper-1607,excluded,civil_geotechnical_infrastructure,high,Traffic sign roadway asset condition assessment
paper-1615,included,physical_asset_maintenance,high,Tri cone drill bit failure analysis
paper-1621,included,physical_asset_maintenance,high,Battery monitoring and fault identification
paper-1645,excluded,civil_geotechnical_infrastructure,medium,Railway infrastructure CBM risk analysis
paper-1646,excluded,civil_geotechnical_infrastructure,high,Pavement distress deterioration prediction
paper-1661,excluded,civil_geotechnical_infrastructure,high,Building condition assessment and prediction
paper-1669,included,physical_asset_maintenance,high,Lithium ion battery RUL prediction
paper-1674,excluded,civil_geotechnical_infrastructure,high,Bridge deterioration prediction
paper-1680,excluded,civil_geotechnical_infrastructure,high,Urban tram track anomaly detection
paper-1689,excluded,civil_geotechnical_infrastructure,high,Road crack detection dataset generation
paper-1695,excluded,civil_geotechnical_infrastructure,high,Bridge defect recognition
paper-1698,included,physical_asset_maintenance,high,Underground power cable condition monitoring
paper-1709,included,physical_asset_maintenance,high,IGBT degradation prediction
paper-1715,excluded,civil_geotechnical_infrastructure,high,Asphalt pavement skid resistance prediction
paper-1717,excluded,civil_geotechnical_infrastructure,high,Steel bridge corrosion severity assessment
paper-1729,excluded,civil_geotechnical_infrastructure,high,Railway track fault diagnosis
paper-1740,included,physical_asset_maintenance,high,Hydraulic piston pump failure prediction
paper-1741,excluded,civil_geotechnical_infrastructure,medium,BIM based building facility maintenance
paper-1754,excluded,civil_geotechnical_infrastructure,high,Railway track tamping and behavior prediction
paper-1757,included,physical_asset_maintenance,high,SiC MOSFET remaining useful life prediction
paper-1773,excluded,civil_geotechnical_infrastructure,high,Road surface state and pavement damage detection
paper-1778,included,physical_asset_maintenance,high,Freight railway vehicle load imbalance detection
paper-1779,included,physical_asset_maintenance,medium,Building systems anomaly detection
paper-1787,included,physical_asset_maintenance,high,Milling tool wear monitoring
paper-1795,excluded,civil_geotechnical_infrastructure,high,Bridge intervention decision support
paper-1801,included,physical_asset_maintenance,high,Gas liquid pipeline failure risk prediction
paper-1807,excluded,civil_geotechnical_infrastructure,medium,Offshore wind foundation scour monitoring
paper-1811,included,physical_asset_maintenance,high,Wind turbine blade inspection and damage assessment
paper-1815,excluded,civil_geotechnical_infrastructure,high,Bridge condition rating prediction
paper-1827,included,physical_asset_maintenance,medium,Wind tunnel facility condition monitoring
paper-1852,included,physical_asset_maintenance,high,Steel plant insulator and lightning rod maintenance
paper-1867,excluded,civil_geotechnical_infrastructure,high,Railway turnout wheel rail force state evaluation
paper-1874,included,physical_asset_maintenance,high,Wind turbine fault detection
paper-1883,excluded,civil_geotechnical_infrastructure,high,Railway vertical track alignment identification
paper-1886,excluded,civil_geotechnical_infrastructure,high,Viaduct girder structural failure prediction
paper-1889,included,physical_asset_maintenance,medium,Steel component residual stress monitoring
paper-1893,excluded,civil_geotechnical_infrastructure,high,Cement based composite material monitoring
paper-1894,included,physical_asset_maintenance,high,High voltage insulator pollution prediction
paper-1895,included,physical_asset_maintenance,high,HVAC component RUL predictive maintenance
paper-1899,included,physical_asset_maintenance,high,Industrial maintenance maturity model
paper-1901,included,physical_asset_maintenance,high,Engine health prediction
paper-1907,included,physical_asset_maintenance,high,Hydrogen pressure vessel monitoring
paper-1922,included,physical_asset_maintenance,high,Harmonic drive degradation and failure analysis
paper-1926,included,physical_asset_maintenance,high,Floating offshore wind turbine structural monitoring
paper-1932,included,physical_asset_maintenance,medium,Beam vibration monitoring for predictive maintenance
