id,decision,reason_category,confidence,notes
paper-0001,included,physical_asset_maintenance,high,PV inverter fault prediction
paper-0002,included,uncertain_but_included,medium,Manufacturing monitoring with PdM keywords
paper-0003,included,physical_asset_maintenance,high,RUL estimation for industrial systems
paper-0004,included,physical_asset_maintenance,high,Oil and gas PHM health index
paper-0005,included,physical_asset_maintenance,high,CNC tool wear condition monitoring
paper-0006,included,physical_asset_maintenance,high,Spline wear degradation monitoring
paper-0007,included,physical_asset_maintenance,high,Ship shafting RUL prediction
paper-0008,excluded,generic_nonmaintenance_ai_control,medium,Hot water control optimization
paper-0009,included,physical_asset_maintenance,high,Bearing defect prognostics
paper-0010,excluded,acronym_collision,high,PDM is melanoma prognosis
paper-0011,included,physical_asset_maintenance,high,Bridge condition assessment
paper-0012,included,physical_asset_maintenance,high,Railway suspension predictive maintenance
paper-0013,included,uncertain_but_included,medium,Manufacturing anomaly root cause analysis
paper-0014,included,physical_asset_maintenance,medium,Axial pump lubrication condition modeling
paper-0015,included,physical_asset_maintenance,high,Naval steel corrosion monitoring
paper-0016,included,physical_asset_maintenance,high,Bearing health and RUL prediction
paper-0017,included,physical_asset_maintenance,medium,Pipeline failure prediction reliability
paper-0018,excluded,business_social_finance,high,Supply chain resilience study
paper-0019,included,physical_asset_maintenance,high,Consumer electronics predictive maintenance
paper-0020,included,physical_asset_maintenance,high,Aircraft engine clearance monitoring
paper-0021,included,physical_asset_maintenance,high,CNC tool health RUL twin
paper-0022,included,uncertain_but_included,medium,Brewery sensors possible equipment maintenance
paper-0023,included,physical_asset_maintenance,medium,Transformer DC bias diagnosis
paper-0024,included,physical_asset_maintenance,high,Industrial production PdM framework
paper-0025,included,physical_asset_maintenance,high,Pressure vessel structural health monitoring
paper-0026,included,physical_asset_maintenance,high,Hydraulic system RUL prediction
paper-0027,included,physical_asset_maintenance,high,Boiler tube predictive maintenance
paper-0028,included,physical_asset_maintenance,high,Pipeline steel degradation monitoring
paper-0029,included,physical_asset_maintenance,high,Hydraulic valve fault diagnosis
paper-0030,included,physical_asset_maintenance,high,Industrial equipment condition monitoring
paper-0031,excluded,environment_natural_system,medium,Mine strata seepage mechanisms
paper-0032,included,physical_asset_maintenance,high,Gear transmission misalignment diagnosis
paper-0033,included,physical_asset_maintenance,high,Railway detector maintenance framework
paper-0034,included,physical_asset_maintenance,high,Wind turbine lifetime monitoring
paper-0035,included,physical_asset_maintenance,high,Condition based maintenance optimization
paper-0036,included,physical_asset_maintenance,high,Gearbox health assessment
paper-0037,excluded,clinical_human_outcome,high,Heart failure prediction
paper-0038,excluded,environment_natural_system,high,Forest canopy mapping
paper-0039,included,physical_asset_maintenance,high,Rolling bearing fault diagnosis
paper-0040,included,physical_asset_maintenance,high,Tool wear RUL uncertainty
paper-0041,included,physical_asset_maintenance,high,PV inverter failure prediction
paper-0042,included,uncertain_but_included,medium,Generator capacitor degradation analysis
paper-0043,included,physical_asset_maintenance,high,Road pothole detection for maintenance
paper-0044,excluded,generic_nonmaintenance_ai_control,high,Generic digital twin semantics
paper-0045,included,physical_asset_maintenance,high,Road surface and pothole monitoring
paper-0046,included,physical_asset_maintenance,high,Rolling bearing RUL prediction
paper-0047,included,physical_asset_maintenance,high,Turbofan engine RUL prediction
paper-0048,included,physical_asset_maintenance,high,Battery RUL online adaptation
paper-0049,included,physical_asset_maintenance,high,Reactor risk and condition monitoring
paper-0050,included,physical_asset_maintenance,high,Transformer fault diagnosis
paper-0051,included,physical_asset_maintenance,high,Hydraulic seal wear classification
paper-0052,included,physical_asset_maintenance,high,Wind turbine blade crack prediction
paper-0053,included,physical_asset_maintenance,high,Logistics equipment condition monitoring
paper-0054,included,physical_asset_maintenance,high,Gearbox fault prediction
paper-0055,included,physical_asset_maintenance,medium,Web processing machine slip monitoring
paper-0056,included,physical_asset_maintenance,high,Rotating machinery RUL prediction
paper-0057,included,physical_asset_maintenance,high,Transformer online DGA calibration
paper-0058,included,physical_asset_maintenance,medium,Marine engine data supports condition monitoring
paper-0059,included,uncertain_but_included,medium,Overhead conductor abrasion fire risk
paper-0060,included,physical_asset_maintenance,high,Robotic fastening predictive maintenance
paper-0061,excluded,generic_nonmaintenance_ai_control,high,Product inspection quality prediction
paper-0062,included,physical_asset_maintenance,medium,Lithium battery impedance condition monitoring
paper-0063,excluded,generic_nonmaintenance_ai_control,medium,Flight mode recognition only
paper-0064,included,uncertain_but_included,medium,Electrochemical condition monitoring method
paper-0065,included,physical_asset_maintenance,high,Water filter cartridge RUL
paper-0066,included,physical_asset_maintenance,high,Manufacturing system condition based maintenance
paper-0067,included,physical_asset_maintenance,high,Gear bearing defect diagnosis
paper-0068,included,physical_asset_maintenance,high,Battery SOH and RUL prognostics
paper-0069,included,physical_asset_maintenance,high,IGBT module RUL prediction
paper-0070,included,physical_asset_maintenance,high,Power semiconductor degradation monitoring
paper-0071,included,physical_asset_maintenance,high,Lithium battery RUL prediction
paper-0072,included,physical_asset_maintenance,high,Fuel cell RUL forecasting
paper-0073,included,physical_asset_maintenance,high,Machine anomalous sound monitoring
paper-0074,included,physical_asset_maintenance,high,Railway track condition monitoring
paper-0075,included,physical_asset_maintenance,high,Transformer insulation failure prediction
paper-0076,included,physical_asset_maintenance,high,Wind turbine gearbox fault detection
paper-0077,included,physical_asset_maintenance,high,Aircraft engine RUL uncertainty
paper-0078,excluded,generic_nonmaintenance_ai_control,high,IoT energy efficiency design
paper-0079,included,physical_asset_maintenance,high,Industrial equipment RUL prediction
paper-0080,excluded,other_nonmaintenance,high,Sheet forming material failure
paper-0081,included,physical_asset_maintenance,high,Induction machine bearing prognosis
paper-0082,included,physical_asset_maintenance,high,Lithography machine health monitoring
paper-0083,included,physical_asset_maintenance,high,Machinery vibration condition sensor
paper-0084,excluded,acronym_collision,high,PDM is Poincare mapping
paper-0085,included,physical_asset_maintenance,high,Aero engine RUL estimation
paper-0086,included,physical_asset_maintenance,high,Lubrication monitoring for equipment maintenance
paper-0087,excluded,environment_natural_system,high,Soil erosion sedimentation assessment
paper-0088,included,physical_asset_maintenance,high,Power semiconductor condition monitoring
paper-0089,included,physical_asset_maintenance,high,Renewable energy anomaly detection
paper-0090,included,physical_asset_maintenance,high,Bearing fault diagnosis data generation
paper-0091,included,physical_asset_maintenance,high,Optical amplifier fault prediction
paper-0092,included,physical_asset_maintenance,high,Cutting tool wear monitoring
paper-0093,excluded,clinical_human_outcome,high,Cardiovascular self care outcomes
paper-0094,excluded,biology_biotech_non_equipment,high,Cow and calf biological performance
paper-0095,excluded,biology_biotech_non_equipment,high,Microbiota fermentation dynamics
paper-0096,excluded,other_nonmaintenance,high,Microphone sensor development
paper-0097,excluded,acronym_collision,high,PDM is positive displacement motor
paper-0098,included,physical_asset_maintenance,high,Railway track anomaly detection
paper-0099,included,physical_asset_maintenance,high,Bearing fault classification
paper-0100,included,physical_asset_maintenance,high,Battery electrode degradation diagnosis
paper-0101,included,physical_asset_maintenance,high,PHM RUL for aviation systems
paper-0102,included,physical_asset_maintenance,high,Rolling bearing RUL prediction
paper-0103,included,physical_asset_maintenance,high,Rotor bearing diagnostics
paper-0104,included,physical_asset_maintenance,high,Motor stator winding prognostics
paper-0105,included,physical_asset_maintenance,high,Electrical machine diagnostics
paper-0106,included,physical_asset_maintenance,high,Rotor fault diagnosis
paper-0107,included,physical_asset_maintenance,medium,Heliostat condition monitoring calibration
paper-0108,included,physical_asset_maintenance,medium,Hydraulic system displacement monitoring
paper-0109,included,physical_asset_maintenance,high,Quay crane breakdown prediction
paper-0110,included,physical_asset_maintenance,high,Structural component remaining life
paper-0111,included,physical_asset_maintenance,high,Crane jib fatigue monitoring
paper-0112,included,physical_asset_maintenance,high,Bearing condition monitoring
paper-0113,included,physical_asset_maintenance,high,Agricultural machinery vibration maintenance
paper-0114,included,physical_asset_maintenance,high,Offshore wind maintenance scheduling
paper-0115,included,physical_asset_maintenance,high,Power module lifetime prediction
