id,decision,reason_category,confidence,notes
paper-0401,excluded,generic_nonmaintenance_ai_control,medium,Production equipment modeling lacks maintenance focus
paper-0402,included,physical_asset_maintenance,high,Smart tire wear supports predictive maintenance
paper-0403,included,physical_asset_maintenance,high,Marine engine fault prediction for maintenance
paper-0404,excluded,generic_nonmaintenance_ai_control,high,Maritime logistics agents not maintenance
paper-0405,included,physical_asset_maintenance,high,Railway bogie RUL extension
paper-0406,included,physical_asset_maintenance,high,Engine defect diagnosis for PdM
paper-0407,excluded,clinical_human_outcome,high,Diabetic retinopathy biomarker study
paper-0408,included,physical_asset_maintenance,high,Mooring condition monitoring for maintenance
paper-0409,included,physical_asset_maintenance,high,Industrial RUL uncertainty for PdM
paper-0410,included,physical_asset_maintenance,high,Predictive maintenance fault-tree modeling
paper-0411,excluded,generic_nonmaintenance_ai_control,medium,Generic ML refinement without asset maintenance
paper-0412,excluded,generic_nonmaintenance_ai_control,medium,Signal denoising lacks fault or maintenance objective
paper-0413,included,physical_asset_maintenance,medium,Aqueduct structural service performance assessment
paper-0414,included,physical_asset_maintenance,high,Bearing RUL prediction
paper-0415,excluded,clinical_human_outcome,high,Ventilation outcome prediction in patients
paper-0416,included,physical_asset_maintenance,high,Hydrogenerator temperature prediction for maintenance
paper-0417,included,physical_asset_maintenance,high,SHM data recovery for condition assessment
paper-0418,included,physical_asset_maintenance,high,Induction motor fault detection
paper-0419,included,physical_asset_maintenance,high,Industrial fault severity prediction for PdM
paper-0420,included,physical_asset_maintenance,high,Rotating machinery fault diagnosis
paper-0421,included,physical_asset_maintenance,high,Bearing fault diagnosis in machinery
paper-0422,included,physical_asset_maintenance,high,PdM and production planning with degradation
paper-0423,included,physical_asset_maintenance,high,Rotating machinery RUL prognosis
paper-0424,included,physical_asset_maintenance,high,Induction motor health diagnostics
paper-0425,excluded,software_it_cyber,high,Port cybersecurity risk not maintenance
paper-0426,excluded,environment_natural_system,high,Agricultural drought monitoring
paper-0427,included,physical_asset_maintenance,high,CBM strategy optimization
paper-0428,included,physical_asset_maintenance,medium,PV cable insulation degradation assessment
paper-0429,included,physical_asset_maintenance,high,ESP reliability and proactive maintenance
paper-0430,included,physical_asset_maintenance,high,Wing SHM for predictive maintenance
paper-0431,included,physical_asset_maintenance,medium,Industrial energy dataset supports PdM
paper-0432,included,physical_asset_maintenance,medium,Power grid cascading fault prediction
paper-0433,excluded,software_it_cyber,high,Software fault prediction
paper-0434,included,physical_asset_maintenance,high,Battery SOC and SOH condition monitoring
paper-0435,excluded,business_social_finance,high,Market demand forecasting not asset health
paper-0436,included,physical_asset_maintenance,high,EV battery degradation monitoring for inspection
