id,decision,reason_category,confidence,notes
paper-3401,included,physical_asset_maintenance,high,Bearing fault diagnosis for rotating machines
paper-3402,included,physical_asset_maintenance,high,Wind turbine gearbox pump RUL prognostics
paper-3403,included,physical_asset_maintenance,medium,Helicopter vibration prediction supports maintenance
paper-3404,included,physical_asset_maintenance,high,EMA worm gear wear PHM
paper-3405,included,physical_asset_maintenance,high,Lithium cell RUL prediction
paper-3406,included,physical_asset_maintenance,high,PMSM demagnetization fault diagnosis
paper-3407,included,uncertain_but_included,medium,IoT device anomaly detection for PdM
paper-3408,excluded,generic_nonmaintenance_ai_control,high,Solar flow measurement no maintenance
paper-3409,included,physical_asset_maintenance,high,Gearbox predictive diagnostics and RUL
paper-3410,included,physical_asset_maintenance,high,Building system fault detection for PdM
paper-3411,included,physical_asset_maintenance,medium,Circuit board thermal defect health assessment
paper-3412,included,physical_asset_maintenance,high,Bearing RUL prognosis
paper-3413,included,physical_asset_maintenance,high,Gearbox condition monitoring sensor placement
paper-3414,included,physical_asset_maintenance,high,Transformer oil temperature fault prevention
paper-3415,included,physical_asset_maintenance,high,Crusher bearing fault prediction
paper-3416,included,physical_asset_maintenance,medium,PV plant monitoring for predictive maintenance
paper-3417,included,physical_asset_maintenance,high,Induction motor bearing fault detection
paper-3418,included,physical_asset_maintenance,high,Transformer winding fault diagnosis
paper-3419,excluded,acronym_collision,high,PHM means personal health management
paper-3420,included,physical_asset_maintenance,high,Oil well pumping unit fault detection
paper-3421,included,physical_asset_maintenance,medium,Tool for PHM datasets
paper-3422,included,physical_asset_maintenance,high,Gas turbine degradation prediction
paper-3423,included,physical_asset_maintenance,high,Induction motor rotor fault wear prediction
paper-3424,included,physical_asset_maintenance,high,Bearing condition monitoring and prognosis
paper-3425,included,physical_asset_maintenance,high,Aeroengine PHM performance evaluation
paper-3426,included,physical_asset_maintenance,high,Mechanical engine RUL prediction
paper-3427,included,physical_asset_maintenance,medium,Vehicle condition monitoring in transport system
paper-3428,included,physical_asset_maintenance,high,Switchgear RUL guided remanufacturing decisions
paper-3429,included,physical_asset_maintenance,medium,Energy harvester powers grid condition sensors
paper-3430,excluded,clinical_human_outcome,high,ECG cardiovascular disease diagnosis
paper-3431,included,physical_asset_maintenance,high,Turbofan engine RUL prediction
paper-3432,included,physical_asset_maintenance,high,Rolling bearing RUL estimation
paper-3433,included,physical_asset_maintenance,high,Wind turbine bearing RUL prediction
paper-3434,excluded,generic_nonmaintenance_ai_control,high,AI energy management sustainability only
paper-3435,excluded,generic_nonmaintenance_ai_control,medium,Second-life battery network optimization only
paper-3436,included,physical_asset_maintenance,high,Rotary excavator failure analysis and service life
paper-3437,included,physical_asset_maintenance,high,Equipment degradation RUL modeling
paper-3438,included,physical_asset_maintenance,high,Road damage detection for infrastructure maintenance
paper-3439,included,physical_asset_maintenance,high,Drone bridge condition monitoring
paper-3440,included,physical_asset_maintenance,medium,Mechanical deterioration prediction method
paper-3441,included,physical_asset_maintenance,high,Machine tool component predictive maintenance
